,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,25.0,26.0,22.0,16.0,22.0,22.0,10.0,20.0,30.0
3094,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,30.0,43.0,55.0,43.0,39.0,51.0,35.0,37.0,39.0,42.0
3095,0.0,1.0,1.0,2.0,2.0,0.0,6.0,26.0,110.0,193.0,198.0,141.0,111.0,143.0,101.0,133.0,161.0,216.0
3096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,20.0,22.0,8.0,17.0,13.0,15.0,6.0,9.0,17.0
3097,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,21.0,18.0,10.0,20.0,14.0,6.0,6.0,11.0,20.0
3099,0.0,0.0,0.0,0.0,1.0,1.0,3.0,13.0,37.0,59.0,50.0,36.0,32.0,41.0,24.0,39.0,24.0,46.0
3101,0.0,0.0,1.0,0.0,1.0,1.0,18.0,21.0,58.0,136.0,84.0,62.0,51.0,86.0,45.0,48.0,69.0,134.0
3102,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,25.0,55.0,38.0,23.0,14.0,18.0,18.0,15.0,20.0,27.0
3103,0.0,0.0,0.0,3.0,2.0,0.0,6.0,10.0,49.0,98.0,55.0,49.0,49.0,44.0,33.0,35.0,59.0,66.0
3104,0.0,0.0,0.0,0.0,1.0,0.0,4.0,15.0,58.0,126.0,82.0,66.0,59.0,63.0,59.0,55.0,70.0,113.0
3105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,39.0,100.0,51.0,50.0,33.0,61.0,23.0,26.0,41.0,63.0
3106,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,174.0,139.0,76.0,90.0,67.0,74.0,57.0,70.0,85.0,109.0
3107,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,37.0,89.0,73.0,56.0,46.0,71.0,41.0,51.0,45.0,83.0
3108,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,61.0,150.0,106.0,95.0,55.0,60.0,36.0,40.0,61.0,154.0
3109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,73.0,215.0,139.0,114.0,84.0,108.0,66.0,61.0,83.0,202.0
3111,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,157.0,96.0,81.0,58.0,49.0,51.0,43.0,43.0,76.0,89.0
3113,0.0,0.0,1.0,1.0,1.0,1.0,11.0,24.0,56.0,69.0,95.0,59.0,58.0,52.0,47.0,44.0,51.0,53.0
3114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,36.0,23.0,22.0,17.0,25.0,28.0,30.0,22.0,28.0
3115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,31.0,33.0,30.0,26.0,24.0,27.0,28.0,28.0,46.0
3116,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,44.0,95.0,100.0,62.0,69.0,66.0,39.0,62.0,73.0,136.0
3121,0.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,45.0,70.0,64.0,60.0,58.0,62.0,77.0,76.0,39.0,69.0
3122,0.0,0.0,0.0,2.0,1.0,1.0,8.0,9.0,36.0,54.0,38.0,40.0,29.0,38.0,33.0,35.0,59.0,67.0
3123,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,20.0,58.0,23.0,30.0,31.0,27.0,27.0,22.0,29.0,63.0
3124,1.0,0.0,0.0,2.0,2.0,1.0,14.0,26.0,67.0,109.0,82.0,70.0,41.0,74.0,54.0,51.0,75.0,91.0
3125,0.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,54.0,157.0,72.0,54.0,46.0,54.0,37.0,31.0,27.0,85.0
3126,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,12.0,48.0,29.0,16.0,13.0,23.0,21.0,23.0,26.0,26.0
3127,0.0,0.0,0.0,1.0,0.0,0.0,3.0,21.0,59.0,122.0,74.0,64.0,54.0,78.0,39.0,51.0,78.0,113.0
3128,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,68.0,140.0,68.0,62.0,40.0,55.0,42.0,41.0,43.0,89.0
3129,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,85.0,107.0,80.0,83.0,45.0,53.0,32.0,32.0,52.0,112.0
3130,0.0,0.0,0.0,0.0,1.0,2.0,13.0,25.0,160.0,265.0,176.0,138.0,135.0,161.0,86.0,98.0,110.0,205.0
3131,0.0,0.0,0.0,1.0,0.0,1.0,4.0,11.0,170.0,208.0,124.0,94.0,65.0,117.0,48.0,67.0,79.0,178.0
3132,0.0,0.0,1.0,0.0,0.0,0.0,4.0,14.0,70.0,128.0,90.0,55.0,52.0,71.0,37.0,48.0,45.0,105.0
3133,1.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,231.0,223.0,162.0,138.0,105.0,109.0,72.0,78.0,98.0,196.0
3134,0.0,0.0,1.0,0.0,2.0,2.0,9.0,26.0,135.0,274.0,220.0,149.0,130.0,151.0,116.0,115.0,153.0,226.0
3135,0.0,0.0,1.0,0.0,0.0,0.0,6.0,15.0,89.0,182.0,129.0,105.0,86.0,81.0,59.0,50.0,91.0,175.0
3136,0.0,0.0,0.0,0.0,1.0,1.0,6.0,26.0,143.0,392.0,325.0,234.0,233.0,204.0,183.0,167.0,203.0,379.0
3137,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,59.0,141.0,147.0,135.0,86.0,86.0,83.0,67.0,79.0,116.0
3138,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,69.0,239.0,261.0,155.0,108.0,130.0,119.0,80.0,109.0,205.0
3139,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,72.0,127.0,175.0,155.0,147.0,106.0,105.0,104.0,118.0,158.0
3140,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,68.0,160.0,193.0,137.0,104.0,96.0,90.0,76.0,103.0,135.0
3141,0.0,0.0,1.0,0.0,0.0,0.0,6.0,8.0,14.0,24.0,14.0,14.0,15.0,23.0,11.0,24.0,42.0,25.0
3142,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,17.0,12.0,14.0,14.0,20.0,15.0,15.0,35.0,40.0
3143,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,17.0,26.0,12.0,14.0,15.0,11.0,12.0,15.0,27.0,32.0
3144,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,13.0,46.0,25.0,29.0,19.0,23.0,19.0,28.0,53.0,41.0
3145,0.0,0.0,1.0,1.0,2.0,1.0,5.0,11.0,55.0,104.0,85.0,69.0,62.0,77.0,47.0,41.0,114.0,107.0
3146,0.0,0.0,0.0,0.0,1.0,5.0,3.0,12.0,66.0,135.0,99.0,70.0,64.0,86.0,45.0,67.0,96.0,127.0
3147,0.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,55.0,113.0,76.0,69.0,39.0,73.0,54.0,59.0,60.0,118.0
3148,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,27.0,70.0,53.0,42.0,27.0,30.0,27.0,9.0,14.0,55.0
3149,0.0,0.0,1.0,2.0,1.0,2.0,5.0,26.0,140.0,295.0,213.0,180.0,136.0,187.0,117.0,113.0,128.0,291.0
3150,0.0,0.0,0.0,0.0,0.0,4.0,11.0,29.0,364.0,679.0,515.0,354.0,229.0,290.0,178.0,161.0,230.0,577.0
3151,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,77.0,107.0,67.0,59.0,34.0,48.0,14.0,15.0,27.0,71.0
3152,0.0,0.0,0.0,1.0,0.0,1.0,3.0,11.0,129.0,342.0,298.0,192.0,166.0,209.0,154.0,112.0,146.0,337.0
3153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,67.0,211.0,202.0,161.0,131.0,131.0,105.0,89.0,137.0,188.0
3154,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,14.0,38.0,48.0,34.0,21.0,25.0,25.0,18.0,24.0,31.0
3155,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,90.0,243.0,220.0,134.0,85.0,128.0,105.0,74.0,107.0,166.0
3156,0.0,0.0,0.0,1.0,0.0,0.0,9.0,17.0,160.0,438.0,457.0,301.0,233.0,225.0,189.0,127.0,237.0,366.0
3158,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,27.0,38.0,50.0,42.0,24.0,37.0,26.0,24.0,25.0,52.0
3159,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,15.0,28.0,21.0,10.0,10.0,11.0,13.0,13.0,14.0,18.0
3160,0.0,0.0,0.0,1.0,0.0,2.0,3.0,8.0,61.0,62.0,46.0,42.0,37.0,57.0,41.0,26.0,46.0,80.0
3161,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,19.0,36.0,24.0,26.0,16.0,36.0,17.0,31.0,35.0,53.0
3162,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,37.0,73.0,70.0,49.0,40.0,60.0,44.0,30.0,45.0,89.0
