,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent
107,3128,2001,286925925.0,4675.0,6356.0,1.0,45142.53067967275,0.000213903743315508
108,3129,2001,269619981.0,5494.0,6390.0,0.0,42194.050234741786,0.0
109,3130,2001,569858096.0,10271.0,11470.0,0.0,49682.48439407149,0.0
110,3131,2001,354342459.0,7597.0,8258.0,0.0,42908.992371034146,0.0
111,3132,2001,270268549.0,5558.0,5900.0,0.0,45808.2286440678,0.0
112,3133,2001,473477904.0,7861.0,7796.0,1.0,60733.44073884043,0.00012721027859051011
113,3134,2001,593432695.0,9732.0,11241.0,0.0,52791.806333956054,0.0
114,3135,2001,322443421.0,6178.0,7128.0,0.0,45236.170173961844,0.0
115,3136,2001,680731308.0,12375.0,15060.0,0.0,45201.28207171315,0.0
116,3137,2001,215586441.0,5010.0,4546.0,0.0,47423.326220853494,0.0
117,3138,2001,331619135.0,6373.0,6471.0,0.0,51246.96878380467,0.0
118,3139,2001,211593999.0,4252.0,4436.0,0.0,47699.27840396754,0.0
119,3140,2001,245734147.0,4379.0,4827.0,0.0,50908.25502382432,0.0
120,3141,2001,618771107.0,3136.0,10109.0,0.0,61209.92254426749,0.0
121,3142,2001,813424679.0,3398.0,6977.0,0.0,116586.59581482012,0.0
122,3143,2001,304613105.0,1762.0,4373.0,0.0,69657.69608964097,0.0
123,3144,2001,408147502.0,3291.0,4245.0,0.0,96147.82143698468,0.0
124,3145,2001,500566595.0,6702.0,8328.0,0.0,60106.45953410183,0.0
125,3146,2001,631234930.0,6802.0,8969.0,0.0,70379.63318095663,0.0
126,3147,2001,249957733.0,4328.0,5063.0,0.0,49369.49101323326,0.0
127,3148,2001,160668013.0,2099.0,2885.0,0.0,55690.819064124786,0.0
128,3149,2001,626329506.0,11201.0,12032.0,0.0,52055.31133643617,0.0
129,3150,2001,1225336805.0,20568.0,21415.0,0.0,57218.6226943731,0.0
130,3151,2001,177854930.0,3671.0,3979.0,0.0,44698.39909525006,0.0
131,3152,2001,612691210.0,10657.0,10965.0,0.0,55876.99133606931,0.0
