,postcode,year,viable_buildings,total_buildings,total_income,num_installs,average_income,install_percent
178,3202,2001,836,921,25331044.0,0.0,27503.84799131379,0.0
179,3204,2001,8449,10610,493878070.0,0.0,46548.35721017908,0.0
180,3205,2001,2231,4750,239683098.0,0.0,50459.59957894737,0.0
181,3206,2001,3828,5023,359768345.0,0.0,71624.19769062313,0.0
182,3207,2001,3911,6158,379777538.0,0.0,61672.2211757064,0.0
183,3211,2001,71,78,23449530.0,0.0,300635.0,0.0
184,3212,2001,4085,4404,209219856.0,0.0,47506.77929155313,0.0
185,3214,2001,8914,9664,246534885.0,0.0,25510.646212748343,0.0
186,3215,2001,6738,7777,275945721.0,0.0,35482.28378552141,0.0
187,3216,2001,16903,18208,751621654.0,0.0,41279.748132688925,0.0
188,3217,2001,37,17,,0.0,,0.0
189,3218,2001,4635,5932,186344449.0,0.0,31413.427006068778,0.0
190,3219,2001,7333,8326,257973267.0,1.0,30984.058011049725,0.00013636983499249966
191,3220,2001,5624,6676,341686804.0,0.0,51181.36668663871,0.0
192,3221,2001,2238,2466,128608679.0,0.0,52152.74898621249,0.0
193,3222,2001,3530,3984,157635745.0,0.0,39567.205070281125,0.0
194,3223,2001,4414,4631,59554061.0,0.0,12859.870654286331,0.0
195,3224,2001,2671,2516,135694624.0,0.0,53932.68044515103,0.0
196,3225,2001,2869,3038,69686766.0,0.0,22938.369321922317,0.0
197,3226,2001,4907,5040,179904318.0,0.0,35695.30119047619,0.0
198,3227,2001,1448,1654,56022383.0,0.0,33870.84824667473,0.0
199,3228,2001,4639,4567,177539606.0,0.0,38874.44843442085,0.0
200,3230,2001,2619,2670,35492940.0,0.0,13293.23595505618,0.0
201,3231,2001,1061,1112,16288958.0,0.0,14648.343525179856,0.0
202,3232,2001,1315,1450,19113562.0,0.0,13181.766896551724,0.0
203,3233,2001,2095,2298,26656427.0,0.0,11599.83768494343,0.0
204,3235,2001,663,679,3251486.0,0.0,4788.639175257732,0.0
205,3236,2001,27,38,2971040.0,0.0,78185.26315789473,0.0
206,3238,2001,193,195,3713186.0,0.0,19041.979487179487,0.0
207,3239,2001,426,414,7531310.0,0.0,18191.57004830918,0.0
208,3240,2001,74,85,28349954.0,0.0,333528.87058823527,0.0
209,3241,2001,826,921,30326804.0,0.0,32928.12595005429,0.0
210,3242,2001,269,263,15960779.0,0.0,60687.37262357414,0.0
211,3243,2001,0,0,4562908.0,0.0,inf,
212,3249,2001,2259,2280,74027516.0,0.0,32468.208771929825,0.0
213,3250,2001,4293,4656,139448678.0,0.0,29950.31743986254,0.0
214,3251,2001,0,0,7244950.0,0.0,inf,
215,3260,2001,2375,2450,68443785.0,0.0,27936.238775510203,0.0
216,3264,2001,941,981,48531235.0,0.0,49471.1875637105,0.0
217,3265,2001,469,516,29549398.0,0.0,57266.27519379845,0.0
218,3266,2001,1408,1516,53404639.0,0.0,35227.334432717675,0.0
219,3268,2001,1440,1487,54818082.0,0.0,36864.883658372564,0.0
220,3269,2001,428,517,11778781.0,0.0,22782.941972920697,0.0
221,3270,2001,244,269,2850911.0,0.0,10598.18215613383,0.0
222,3272,2001,644,642,22962446.0,0.0,35767.04984423676,0.0
223,3274,2001,236,236,5900134.0,0.0,25000.56779661017,0.0
224,3275,2001,355,356,3303877.0,0.0,9280.553370786516,0.0
225,3276,2001,327,331,5064919.0,0.0,15301.87009063444,0.0
226,3277,2001,517,499,31243487.0,0.0,62612.19839679359,0.0
227,3278,2001,168,167,,0.0,,0.0
228,3280,2001,9520,10928,410979781.0,0.0,37607.95946193265,0.0
229,3281,2001,0,0,20147512.0,0.0,inf,
230,3282,2001,373,426,46219308.0,0.0,108496.02816901408,0.0
231,3283,2001,815,835,4924857.0,0.0,5898.032335329342,0.0
232,3284,2001,1404,1495,48556615.0,0.0,32479.341137123745,0.0
233,3285,2001,572,569,15615714.0,0.0,27444.137082601053,0.0
234,3286,2001,443,460,10017736.0,0.0,21777.68695652174,0.0
235,3287,2001,156,156,8946750.0,0.0,57350.96153846154,0.0
236,3289,2001,389,428,13908957.0,0.0,32497.56308411215,0.0
237,3292,2001,203,229,2661375.0,0.0,11621.724890829695,0.0
238,3293,2001,127,131,7379343.0,0.0,56330.86259541985,0.0
239,3294,2001,436,494,14044614.0,0.0,28430.39271255061,0.0
240,3300,2001,4682,5028,153980417.0,0.0,30624.585719968178,0.0
241,3301,2001,0,0,8420379.0,0.0,inf,
242,3302,2001,160,161,7046916.0,0.0,43769.664596273295,0.0
243,3303,2001,122,121,5503801.0,0.0,45485.95867768595,0.0
244,3304,2001,1307,1405,43986195.0,0.0,31306.900355871887,0.0
245,3305,2001,4772,5281,201011802.0,0.0,38063.20810452566,0.0
246,3310,2001,206,222,3521167.0,0.0,15861.112612612613,0.0
247,3311,2001,699,748,40594785.0,0.0,54271.10294117647,0.0
248,3312,2001,740,762,4013290.0,0.0,5266.784776902887,0.0
249,3314,2001,324,331,12042778.0,0.0,36383.01510574018,0.0
250,3315,2001,823,903,26115224.0,0.0,28920.5138427464,0.0
251,3317,2001,0,0,2391700.0,0.0,inf,
252,3318,2001,944,1000,20029036.0,0.0,20029.036,0.0
253,3319,2001,142,158,6783385.0,0.0,42932.8164556962,0.0
254,3321,2001,494,510,15623354.0,0.0,30634.027450980393,0.0
255,3324,2001,460,460,8830179.0,0.0,19196.041304347826,0.0
256,3325,2001,397,424,10344958.0,0.0,24398.485849056604,0.0
257,3328,2001,471,486,17339462.0,0.0,35677.90534979424,0.0
258,3330,2001,24,37,3401128.0,0.0,91922.37837837837,0.0
259,3331,2001,869,907,45076038.0,0.0,49697.94707828004,0.0
260,3332,2001,275,275,12081374.0,0.0,43932.26909090909,0.0
261,3333,2001,93,122,12101307.0,0.0,99191.04098360655,0.0
262,3334,2001,171,186,6353962.0,0.0,34161.086021505376,0.0
263,3335,2001,445,496,22281118.0,0.0,44921.60887096774,0.0
264,3337,2001,6608,6703,361555526.0,0.0,53939.35939131732,0.0
265,3338,2001,2145,2838,164707097.0,0.0,58036.32734319944,0.0
266,3340,2001,4634,5041,245935107.0,0.0,48786.96826026582,0.0
267,3341,2001,444,445,23615358.0,0.0,53068.2202247191,0.0
268,3342,2001,1647,1656,39155318.0,0.0,23644.51570048309,0.0
269,3345,2001,336,356,17356152.0,0.0,48753.23595505618,0.0
270,3350,2001,16853,19962,742462479.0,0.0,37193.79215509468,0.0
271,3351,2001,2266,2309,86759630.0,1.0,37574.547423126896,0.000441306266548985
272,3352,2001,4769,4800,212123539.0,1.0,44192.403958333336,0.00020968756552736424
273,3355,2001,4073,4880,145880069.0,0.0,29893.45676229508,0.0
274,3356,2001,3641,4239,130988698.0,0.0,30900.848785090824,0.0
275,3357,2001,458,540,49130178.0,0.0,90981.8111111111,0.0
276,3360,2001,99,109,8148282.0,0.0,74754.88073394496,0.0
277,3361,2001,161,185,8781249.0,0.0,47466.21081081081,0.0
278,3363,2001,1042,1141,45943715.0,0.0,40266.18317265557,0.0
279,3364,2001,607,610,19851033.0,0.0,32542.67704918033,0.0
280,3370,2001,663,700,14924666.0,0.0,21320.95142857143,0.0
281,3371,2001,638,653,9230593.0,0.0,14135.67075038285,0.0
