Unnamed: 0,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent,cum_install,viable_avg,solar_pen,solar_pen_cum,solar_pen_cum_n,average_income_n
74,3086,2001,4836639.0,30.0,216.0,0.0,22391.847222222223,0.0,0.0,9.166666666666666,0.0,0.0,0.0,0.0033052004351613673
75,3087,2001,143535576.0,3336.0,3411.0,0.0,42080.20404573439,0.0,0.0,3498.8888888888887,0.0,0.0,0.0,0.006973229821139896
76,3088,2001,525629722.0,8430.0,9312.0,0.0,56446.49076460481,0.0,0.0,9484.166666666666,0.0,0.0,0.0,0.009649733621054743
77,3089,2001,204152174.0,2706.0,2827.0,0.0,72215.1305270605,0.0,0.0,3564.0,0.0,0.0,0.0,0.012587502097321065
78,3090,2001,35802277.0,601.0,621.0,0.0,57652.61996779388,0.0,0.0,657.8888888888889,0.0,0.0,0.0,0.009874440913808652
79,3091,2001,34278571.0,461.0,459.0,0.0,74680.9825708061,0.0,0.0,494.72222222222223,0.0,0.0,0.0,0.01304690141840268
80,3093,2001,93785242.0,1566.0,1493.0,0.0,62816.6389819156,0.0,0.0,1479.5555555555557,0.0,0.0,0.0,0.010836520871183752
81,3094,2001,166925646.0,2912.0,2975.0,0.0,56109.46084033613,0.0,0.0,3374.1111111111113,0.0,0.0,0.0,0.009586943431032623
82,3095,2001,669136935.0,9350.0,9624.0,0.0,69527.94420199501,0.0,0.0,9453.833333333334,0.0,0.0,0.0,0.012086867204612859
83,3096,2001,37225241.0,417.0,428.0,0.0,86974.86214953271,0.0,0.0,556.7222222222222,0.0,0.0,0.0,0.01533730645152348
84,3097,2001,32972363.0,227.0,254.0,0.0,129812.45275590551,0.0,0.0,401.22222222222223,0.0,0.0,0.0,0.023318142159511383
85,3099,2001,103081928.0,1544.0,1526.0,0.0,67550.4115334207,0.0,0.0,1686.0,0.0,0.0,0.0,0.011718443978384011
86,3101,2001,761276739.0,6366.0,8586.0,0.0,88664.8892382949,0.0,0.0,7165.277777777777,0.0,0.0,0.0,0.015652166095741042
87,3102,2001,163444286.0,2326.0,2631.0,0.0,62122.49562903839,0.0,0.0,2200.0,0.0,0.0,0.0,0.01070719884399484
88,3103,2001,431996139.0,5334.0,6159.0,0.0,70140.6298100341,0.0,0.0,5437.722222222223,0.0,0.0,0.0,0.012201013287742033
89,3104,2001,501175486.0,6823.0,7325.0,0.0,68419.86156996587,0.0,0.0,7171.611111111111,0.0,0.0,0.0,0.011880426428838142
90,3105,2001,206965422.0,4032.0,4139.0,0.0,50003.72602077797,0.0,0.0,4060.9444444444443,0.0,0.0,0.0,0.008449417585585433
91,3106,2001,444746767.0,4869.0,5381.0,0.0,82651.32261661401,0.0,0.0,5454.666666666667,0.0,0.0,0.0,0.014531811599904033
92,3107,2001,269469252.0,4836.0,4913.0,0.0,54848.20924078974,0.0,0.0,4964.666666666667,0.0,0.0,0.0,0.009351966588032513
93,3108,2001,372181246.0,5811.0,6845.0,0.0,54372.71672753835,0.0,0.0,6764.777777777777,0.0,0.0,0.0,0.009263380195219068
94,3109,2001,513063427.0,9544.0,9804.0,0.0,52332.05089759282,0.0,0.0,9691.611111111111,0.0,0.0,0.0,0.00888319497720923
95,3111,2001,276900293.0,3896.0,4073.0,0.0,67984.35870365823,0.0,0.0,4224.833333333333,0.0,0.0,0.0,0.0117992902870253
96,3113,2001,210092136.0,2547.0,2556.0,0.0,82195.67136150235,0.0,0.0,2785.222222222222,0.0,0.0,0.0,0.014446921722679154
97,3114,2001,101750208.0,1059.0,1066.0,0.0,95450.4765478424,0.0,0.0,1159.7222222222222,0.0,0.0,0.0,0.016916351516376018
98,3115,2001,91267343.0,1475.0,1493.0,0.0,61130.16945746818,0.0,0.0,1322.7777777777778,0.0,0.0,0.0,0.010522324017191198
99,3116,2001,161300512.0,3209.0,3228.0,0.0,49969.17967781909,0.0,0.0,3445.1111111111113,0.0,0.0,0.0,0.008442981446587793
100,3121,2001,589498662.0,6772.0,11900.0,0.0,49537.70268907563,0.0,0.0,7431.611111111111,0.0,0.0,0.0,0.008362595343863645
101,3122,2001,661679091.0,4430.0,8832.0,0.0,74918.37533967392,0.0,0.0,4481.5,0.0,0.0,0.0,0.013091128758450992
102,3123,2001,343663103.0,3801.0,5926.0,0.0,57992.42372595343,0.0,0.0,3569.722222222222,0.0,0.0,0.0,0.009937747881554517
103,3124,2001,607400760.0,6128.0,7546.0,1.0,80493.07712695468,0.00016318537859,1.0,6545.611111111111,0.00016318537859007833,0.00015277412345846665,0.00011362342493190682,0.014129720762705675
104,3125,2001,243230620.0,4387.0,4352.0,0.0,55889.38878676471,0.0,0.0,4675.444444444444,0.0,0.0,0.0,0.009545943018109968
105,3126,2001,326086886.0,1981.0,2675.0,0.0,121901.63962616822,0.0,0.0,2449.0,0.0,0.0,0.0,0.021844322110079507
106,3127,2001,476925158.0,5247.0,6891.0,0.0,69209.86184878828,0.0,0.0,6053.611111111111,0.0,0.0,0.0,0.012027607032259108
107,3128,2001,286925925.0,4675.0,6356.0,1.0,45142.53067967275,0.0002139037433155,1.0,5542.5,0.000213903743315508,0.00018042399639152008,0.00013418759634042194,0.007543755039848668
108,3129,2001,269619981.0,5494.0,6390.0,0.0,42194.050234741786,0.0,0.0,6079.666666666667,0.0,0.0,0.0,0.0069944398779518534
109,3130,2001,569858096.0,10271.0,11470.0,0.0,49682.48439407149,0.0,0.0,11091.055555555555,0.0,0.0,0.0,0.008389568826376044
110,3131,2001,354342459.0,7597.0,8258.0,0.0,42908.99237103415,0.0,0.0,8077.055555555556,0.0,0.0,0.0,0.007127636811992734
111,3132,2001,270268549.0,5558.0,5900.0,0.0,45808.2286440678,0.0,0.0,5926.777777777777,0.0,0.0,0.0,0.007667777563286026
112,3133,2001,473477904.0,7861.0,7796.0,1.0,60733.44073884043,0.0001272102785905,1.0,7858.388888888889,0.00012721027859051011,0.00012725254681833286,9.464214144051436e-05,0.010448411673401778
113,3134,2001,593432695.0,9732.0,11241.0,0.0,52791.80633395605,0.0,0.0,11289.333333333334,0.0,0.0,0.0,0.00896884948185178
114,3135,2001,322443421.0,6178.0,7128.0,0.0,45236.17017396184,0.0,0.0,7215.166666666667,0.0,0.0,0.0,0.007561200498594638
115,3136,2001,680731308.0,12375.0,15060.0,0.0,45201.28207171315,0.0,0.0,15407.888888888889,0.0,0.0,0.0,0.007554700688304914
116,3137,2001,215586441.0,5010.0,4546.0,0.0,47423.32622085349,0.0,0.0,4933.611111111111,0.0,0.0,0.0,0.007968677502573891
117,3138,2001,331619135.0,6373.0,6471.0,0.0,51246.96878380467,0.0,0.0,7336.777777777777,0.0,0.0,0.0,0.008681039301382514
118,3139,2001,211593999.0,4252.0,4436.0,0.0,47699.27840396754,0.0,0.0,4850.555555555556,0.0,0.0,0.0,0.00802008863484159
119,3140,2001,245734147.0,4379.0,4827.0,0.0,50908.25502382432,0.0,0.0,5464.555555555556,0.0,0.0,0.0,0.008617935405197563
120,3141,2001,618771107.0,3136.0,10109.0,0.0,61209.92254426749,0.0,0.0,3279.9444444444443,0.0,0.0,0.0,0.01053718237579495
121,3142,2001,813424679.0,3398.0,6977.0,0.0,116586.59581482012,0.0,0.0,3413.4444444444443,0.0,0.0,0.0,0.020854105554043403
122,3143,2001,304613105.0,1762.0,4373.0,0.0,69657.69608964097,0.0,0.0,2230.0555555555557,0.0,0.0,0.0,0.012111040564585855
123,3144,2001,408147502.0,3291.0,4245.0,0.0,96147.82143698468,0.0,0.0,3147.6666666666665,0.0,0.0,0.0,0.017046270004163745
124,3145,2001,500566595.0,6702.0,8328.0,0.0,60106.45953410183,0.0,0.0,6922.277777777777,0.0,0.0,0.0,0.010331602256341084
125,3146,2001,631234930.0,6802.0,8969.0,0.0,70379.63318095663,0.0,0.0,7313.333333333333,0.0,0.0,0.0,0.012245540690193664
126,3147,2001,249957733.0,4328.0,5063.0,0.0,49369.49101323326,0.0,0.0,4719.944444444444,0.0,0.0,0.0,0.008331256752452214
127,3148,2001,160668013.0,2099.0,2885.0,0.0,55690.81906412479,0.0,0.0,2800.5555555555557,0.0,0.0,0.0,0.009508948586104397
128,3149,2001,626329506.0,11201.0,12032.0,0.0,52055.31133643617,0.0,0.0,11174.388888888889,0.0,0.0,0.0,0.008831637152872506
129,3150,2001,1225336805.0,20568.0,21415.0,0.0,57218.6226943731,0.0,0.0,20776.38888888889,0.0,0.0,0.0,0.009793585270719085
130,3151,2001,177854930.0,3671.0,3979.0,0.0,44698.39909525006,0.0,0.0,3826.6111111111113,0.0,0.0,0.0,0.007461011329060261
131,3152,2001,612691210.0,10657.0,10965.0,0.0,55876.99133606931,0.0,0.0,11175.111111111111,0.0,0.0,0.0,0.009543633317312202
132,3153,2001,295132364.0,6419.0,7358.0,0.0,40110.40554498505,0.0,0.0,7189.166666666667,0.0,0.0,0.0,0.0066062475051460855
