Unnamed: 0,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent,cum_install,viable_avg,solar_pen,solar_pen_cum,solar_pen_cum_n,average_income_n,solar_min_yr,solar_max_yr,solar_pen_cum_n_yr,income_min_yr,income_max_yr,average_income_n_yr
75,3087,2001,143535576.0,3336.0,3411.0,0.0,42080.20404573439,0.0,0.0,3498.8888888888887,0.0,0.0,0.0,0.0069732298211398,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02567764093188472
76,3088,2001,525629722.0,8430.0,9312.0,0.0,56446.49076460481,0.0,0.0,9484.166666666666,0.0,0.0,0.0,0.0096497336210547,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.035533375690359095
77,3089,2001,204152174.0,2706.0,2827.0,0.0,72215.1305270605,0.0,0.0,3564.0,0.0,0.0,0.0,0.012587502097321,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04635116974124347
78,3090,2001,35802277.0,601.0,621.0,0.0,57652.61996779388,0.0,0.0,657.8888888888889,0.0,0.0,0.0,0.0098744409138086,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03636081911702183
79,3091,2001,34278571.0,461.0,459.0,0.0,74680.9825708061,0.0,0.0,494.72222222222223,0.0,0.0,0.0,0.0130469014184026,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.048042823553559245
80,3093,2001,93785242.0,1566.0,1493.0,0.0,62816.6389819156,0.0,0.0,1479.5555555555557,0.0,0.0,0.0,0.0108365208711837,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03990350225337119
81,3094,2001,166925646.0,2912.0,2975.0,0.0,56109.46084033613,0.0,0.0,3374.1111111111118,0.0,0.0,0.0,0.0095869434310326,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03530216232226602
82,3095,2001,669136935.0,9350.0,9624.0,0.0,69527.94420199501,0.0,0.0,9453.833333333334,0.0,0.0,0.0,0.0120868672046128,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.044507673493068396
83,3096,2001,37225241.0,417.0,428.0,0.0,86974.86214953271,0.0,0.0,556.7222222222222,0.0,0.0,0.0,0.0153373064515234,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.05647682035813374
84,3097,2001,32972363.0,227.0,254.0,0.0,129812.45275590551,0.0,0.0,401.22222222222223,0.0,0.0,0.0,0.0233181421595113,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.08586478531876345
85,3099,2001,103081928.0,1544.0,1526.0,0.0,67550.4115334207,0.0,0.0,1686.0,0.0,0.0,0.0,0.011718443978384,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04315102247815542
86,3101,2001,761276739.0,6366.0,8586.0,0.0,88664.8892382949,0.0,0.0,7165.277777777777,0.0,0.0,0.0,0.015652166095741,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.05763623329812457
87,3102,2001,163444286.0,2326.0,2631.0,0.0,62122.49562903839,0.0,0.0,2200.0,0.0,0.0,0.0,0.0107071988439948,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03942729758725314
88,3103,2001,431996139.0,5334.0,6159.0,0.0,70140.6298100341,0.0,0.0,5437.722222222223,0.0,0.0,0.0,0.012201013287742,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.044927995526265474
89,3104,2001,501175486.0,6823.0,7325.0,0.0,68419.86156996587,0.0,0.0,7171.611111111111,0.0,0.0,0.0,0.0118804264288381,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04374749316773725
90,3105,2001,206965422.0,4032.0,4139.0,0.0,50003.72602077797,0.0,0.0,4060.944444444444,0.0,0.0,0.0,0.0084494175855854,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.031113431854559045
91,3106,2001,444746767.0,4869.0,5381.0,0.0,82651.32261661401,0.0,0.0,5454.666666666667,0.0,0.0,0.0,0.014531811599904,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.05351073317860853
92,3107,2001,269469252.0,4836.0,4913.0,0.0,54848.20924078974,0.0,0.0,4964.666666666667,0.0,0.0,0.0,0.0093519665880325,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03443690315877578
93,3108,2001,372181246.0,5811.0,6845.0,0.0,54372.71672753835,0.0,0.0,6764.777777777777,0.0,0.0,0.0,0.009263380195219,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.034110700001206154
94,3109,2001,513063427.0,9544.0,9804.0,0.0,52332.05089759282,0.0,0.0,9691.611111111111,0.0,0.0,0.0,0.0088831949772092,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03271073760701231
95,3111,2001,276900293.0,3896.0,4073.0,0.0,67984.35870365823,0.0,0.0,4224.833333333333,0.0,0.0,0.0,0.0117992902870253,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04344872419417602
96,3113,2001,210092136.0,2547.0,2556.0,0.0,82195.67136150235,0.0,0.0,2785.222222222222,0.0,0.0,0.0,0.0144469217226791,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.05319814176228605
97,3114,2001,101750208.0,1059.0,1066.0,0.0,95450.4765478424,0.0,0.0,1159.7222222222222,0.0,0.0,0.0,0.016916351516376,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.06229136444036507
98,3115,2001,91267343.0,1475.0,1493.0,0.0,61130.16945746818,0.0,0.0,1322.7777777777778,0.0,0.0,0.0,0.0105223240171911,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03874652991692383
99,3116,2001,161300512.0,3209.0,3228.0,0.0,49969.17967781909,0.0,0.0,3445.1111111111118,0.0,0.0,0.0,0.0084429814465877,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.031089731952159715
100,3121,2001,589498662.0,6772.0,11900.0,0.0,49537.70268907563,0.0,0.0,7431.611111111111,0.0,0.0,0.0,0.0083625953438636,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03079372486009361
