,"Taxation statistics 2015–16 Individuals: Number of individuals, by state/territory, postcode and taxable income range, 2015–16 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Notes,,,,,,,,
1,State/ Territory1,Postcode,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","f. $80,001 or more",Total
2,ACT,2600,685,728,1699,1789,680,na,5581
3,ACT,2601,730,424,659,696,149,na,2658
4,ACT,2602,2899,3314,6563,5799,882,na,19457
5,ACT,2603,790,848,1891,2031,918,na,6478
6,ACT,2604,872,912,2360,2685,558,na,7387
7,ACT,2605,1029,1103,2396,2263,646,na,7437
8,ACT,2606,823,1127,2392,1710,260,na,6312
9,ACT,2607,1387,1588,3167,2590,492,na,9224
10,ACT,2609,74,129,227,112,19,na,561
11,ACT,2611,2301,2745,6548,5449,671,na,17714
12,ACT,2612,1464,1629,3656,2895,536,na,10180
13,ACT,2614,1817,2234,4334,3469,470,na,12324
14,ACT,2615,3711,4823,11240,7087,409,na,27270
15,ACT,2617,3251,3881,7674,5138,501,na,20445
16,ACT,2900,176,188,505,369,36,na,1274
17,ACT,2902,1273,1663,3647,2471,260,na,9314
18,ACT,2903,810,1067,2315,1589,131,na,5912
19,ACT,2904,1067,1459,3315,2519,287,na,8647
20,ACT,2905,2218,3272,7670,4769,290,na,18219
21,ACT,2906,1379,1877,4618,3074,189,na,11137
22,ACT,2911,307,403,1162,956,72,na,2900
23,ACT,2912,613,702,1426,1006,68,na,3815
24,ACT,2913,2965,3709,8537,6157,582,na,21950
25,ACT,2914,1930,2270,5483,4662,416,na,14761
26,ACT,ACT other,77,123,295,164,26,na,685
27,NSW,2000,8701,6202,4996,2903,1405,na,24207
28,NSW,2006,16,16,17,22,8,na,79
29,NSW,2007,1577,1157,1297,739,109,na,4879
30,NSW,2008,1519,1296,1922,1113,175,na,6025
31,NSW,2009,2045,1729,2813,2343,833,na,9763
32,NSW,2010,3364,3714,6624,5324,1612,na,20638
33,NSW,2011,2682,2583,4814,3883,1326,na,15288
34,NSW,2015,845,1157,2797,2237,408,na,7444
35,NSW,2016,1304,1639,3138,2246,391,na,8718
36,NSW,2017,2329,2473,5175,3577,471,na,14025
37,NSW,2018,1680,2076,3595,1853,221,na,9425
38,NSW,2019,868,1266,2661,1613,170,na,6578
39,NSW,2020,1598,2051,3984,2028,195,na,9856
40,NSW,2021,1416,1734,3323,2907,1607,na,10987
41,NSW,2022,1614,1820,2723,2047,874,na,9078
42,NSW,2023,1013,1122,1988,1831,1300,na,7254
43,NSW,2024,1068,1290,2269,1963,971,na,7561
44,NSW,2025,815,843,1393,1416,873,na,5340
45,NSW,2026,4253,4472,7483,6058,2135,na,24401
46,NSW,2027,829,839,1589,1616,1122,na,5995
47,NSW,2028,468,592,1010,954,496,na,3520
48,NSW,2029,1027,1295,2086,1705,907,na,7020
49,NSW,2030,1449,1668,2562,2371,1769,na,9819
50,NSW,2031,3312,3959,7676,6263,1950,na,23160
51,NSW,2032,1947,1851,2728,1532,360,na,8418
52,NSW,2033,1469,1419,2359,1514,442,na,7203
53,NSW,2034,2014,2410,4754,3980,1311,na,14469
54,NSW,2035,3659,4293,7338,4804,1206,na,21300
55,NSW,2036,2746,3527,6151,3539,629,na,16592
56,NSW,2037,1893,1956,3246,2386,767,na,10248
57,NSW,2038,800,979,1863,1765,592,na,5999
58,NSW,2039,762,843,1653,1813,792,na,5863
59,NSW,2040,1668,2139,4303,3982,1166,na,13258
60,NSW,2041,1523,1735,2813,3168,1731,na,10970
61,NSW,2042,1975,2375,4777,3315,618,na,13060
62,NSW,2043,607,736,2081,2021,317,na,5762
63,NSW,2044,704,939,1998,1310,128,na,5079
64,NSW,2045,605,831,1196,919,423,na,3974
65,NSW,2046,2560,3070,5210,4394,1236,na,16470
66,NSW,2047,1121,1322,2325,2182,813,na,7763
67,NSW,2048,709,958,1803,1373,314,na,5157
68,NSW,2049,958,1370,2556,1771,389,na,7044
69,NSW,2050,839,913,1820,1722,323,na,5617
70,NSW,2052,81,30,13,na,na,9,133
71,NSW,2060,1569,1617,3111,3164,1171,na,10632
72,NSW,2061,674,626,1239,1336,676,na,4551
73,NSW,2062,621,725,1298,1443,610,na,4697
74,NSW,2063,742,693,981,1001,881,na,4298
75,NSW,2064,1044,1131,1929,1656,472,na,6232
76,NSW,2065,2844,3139,6377,6548,2174,na,21082
77,NSW,2066,3096,3368,6082,5515,2212,na,20273
78,NSW,2067,3931,3407,4724,3446,1085,na,16593
79,NSW,2068,1759,1885,2812,2575,1668,na,10699
80,NSW,2069,1709,1680,2403,2039,1400,na,9231
81,NSW,2070,1715,1596,2255,2069,1264,na,8899
82,NSW,2071,1903,1546,2262,1968,1194,na,8873
83,NSW,2072,1102,1009,1362,1104,553,na,5130
84,NSW,2073,2078,1836,2637,2588,1420,na,10559
85,NSW,2074,2854,2663,3702,3409,1800,na,14428
86,NSW,2075,2717,2607,3466,3153,1528,na,13471
87,NSW,2076,2851,2977,4168,3802,1537,na,15335
88,NSW,2077,4435,4670,8049,5163,614,na,22931
89,NSW,2079,805,939,1588,1079,172,na,4583
90,NSW,2080,229,228,341,250,35,na,1083
91,NSW,2081,588,685,1148,831,142,na,3394
92,NSW,2082,567,696,1141,794,115,na,3313
93,NSW,2083,179,236,353,194,43,na,1005
94,NSW,2084,474,458,735,534,225,na,2426
95,NSW,2085,1467,1563,2122,1516,539,na,7207
96,NSW,2086,1526,1683,2580,1917,607,na,8313
97,NSW,2087,1544,1579,2157,1757,733,na,7770
98,NSW,2088,3069,3061,5021,4916,3686,na,19753
99,NSW,2089,1146,1395,2726,2666,975,na,8908
100,NSW,2090,1296,1478,2658,2674,1236,na,9342
101,NSW,2092,829,791,1143,1045,764,na,4572
102,NSW,2093,2422,2708,4430,3367,1842,na,14769
103,NSW,2094,695,643,1262,1141,519,na,4260
104,NSW,2095,2111,2109,3430,3270,1392,na,12312
105,NSW,2096,1421,1739,3350,2538,973,na,10021
106,NSW,2097,1805,2013,3517,2213,722,na,10270
107,NSW,2099,4139,5650,9969,5007,1145,na,25910
108,NSW,2100,2302,2886,4797,2895,819,na,13699
109,NSW,2101,2049,2791,4395,2584,734,na,12553
110,NSW,2102,773,950,1604,1112,224,na,4663
111,NSW,2103,1325,1581,2494,1460,461,na,7321
112,NSW,2104,480,492,710,480,245,na,2407
113,NSW,2105,288,275,357,323,138,na,1381
114,NSW,2106,1161,1413,2119,1392,534,na,6619
115,NSW,2107,1965,2226,3065,2001,865,na,10122
116,NSW,2108,278,271,299,273,176,na,1297
117,NSW,2110,982,1045,1444,1504,1075,na,6050
118,NSW,2111,1405,1669,2868,2328,803,na,9073
119,NSW,2112,3573,4130,6795,4095,868,na,19461
120,NSW,2113,2385,2465,4207,2948,500,na,12505
121,NSW,2114,2883,3111,5455,3263,457,na,15169
122,NSW,2115,1010,1301,2256,1150,129,na,5846
123,NSW,2116,676,778,1360,697,53,na,3564
124,NSW,2117,2420,2810,4154,2170,304,na,11858
125,NSW,2118,3273,3315,4712,2814,402,na,14516
126,NSW,2119,1506,1356,2021,1912,694,na,7489
127,NSW,2120,2550,2548,3855,3194,707,na,12854
128,NSW,2121,4111,3824,5169,3967,867,na,17938
129,NSW,2122,4622,4421,6021,3631,558,na,19253
130,NSW,2125,2196,2139,3281,2493,898,na,11007
131,NSW,2126,2561,2474,3504,2786,663,na,11988
132,NSW,2127,1449,1580,3183,2197,292,na,8701
133,NSW,2128,251,359,535,206,9,na,1360
134,NSW,2130,683,846,1751,1162,237,na,4679
135,NSW,2131,2883,3509,5405,2541,315,na,14653
136,NSW,2132,1170,1371,2060,1351,257,na,6209
137,NSW,2133,1079,1402,2352,1310,160,na,6303
138,NSW,2134,2474,2474,2968,1165,217,na,9298
139,NSW,2135,3761,4140,5290,2945,892,na,17028
140,NSW,2136,812,1066,1675,887,119,na,4559
141,NSW,2137,2894,3359,5484,3853,1077,na,16667
142,NSW,2138,2425,2369,3882,2464,418,na,11558
143,NSW,2140,1924,2225,3778,1449,112,na,9488
144,NSW,2141,3811,4698,5788,1916,161,na,16374
145,NSW,2142,2587,3601,4982,1408,73,na,12651
146,NSW,2143,955,1236,1744,615,42,na,4592
147,NSW,2144,4749,6332,6232,1306,66,na,18685
148,NSW,2145,7646,9313,17238,8555,573,na,43325
149,NSW,2146,1753,2187,3995,1854,101,na,9890
150,NSW,2147,3315,4335,8337,3667,217,na,19871
151,NSW,2148,5926,8084,15408,4760,180,na,34358
152,NSW,2150,3972,4348,7435,3477,183,na,19415
153,NSW,2151,2190,2519,4432,2463,264,na,11868
154,NSW,2152,1097,1335,2418,1502,146,na,6498
155,NSW,2153,6503,6998,11479,8501,1222,na,34703
156,NSW,2154,4864,5070,7649,5767,1427,na,24777
157,NSW,2155,5144,6091,11109,8767,1300,na,32411
158,NSW,2156,1620,1870,2551,1942,711,na,8694
159,NSW,2157,464,559,781,432,108,na,2344
160,NSW,2158,1048,1198,1731,1227,449,na,5653
161,NSW,2159,610,766,1000,689,178,na,3243
162,NSW,2160,3464,4887,6929,2147,150,na,17577
163,NSW,2161,2671,3940,5242,1499,79,na,13431
164,NSW,2162,1619,2327,3262,1013,66,na,8287
165,NSW,2163,762,1008,1478,289,12,na,3549
166,NSW,2164,1559,2499,3964,1392,100,na,9514
167,NSW,2165,3216,4858,6816,1696,118,na,16704
168,NSW,2166,4839,6883,9296,2237,198,na,23453
169,NSW,2167,826,1131,2306,990,40,na,5293
170,NSW,2168,3116,4962,8382,2195,118,na,18773
171,NSW,2170,8232,12170,21434,7490,499,na,49825
172,NSW,2171,2796,4372,8289,3855,314,na,19626
173,NSW,2172,232,300,525,478,64,na,1599
174,NSW,2173,1210,1558,3515,2021,120,na,8424
175,NSW,2174,159,274,575,326,22,na,1356
176,NSW,2175,166,274,404,198,43,na,1085
177,NSW,2176,4015,6164,10044,3472,299,na,23994
178,NSW,2177,1236,2017,3257,998,64,na,7572
179,NSW,2178,349,522,806,391,67,na,2135
180,NSW,2179,495,722,1246,534,58,na,3055
181,NSW,2190,2261,3386,3954,1386,127,na,11114
182,NSW,2191,559,788,1252,540,58,na,3197
183,NSW,2192,1266,1891,2724,807,46,na,6734
184,NSW,2193,1464,2078,3414,1817,266,na,9039
185,NSW,2194,2944,3876,5012,1205,82,na,13119
186,NSW,2195,3007,3898,4297,905,31,na,12138
187,NSW,2196,3008,4464,5684,1764,110,na,15030
188,NSW,2197,757,1172,1533,531,36,na,4029
189,NSW,2198,879,1104,1652,716,74,na,4425
190,NSW,2199,1555,2256,3124,976,70,na,7981
191,NSW,2200,4094,5979,7618,2232,154,na,20077
192,NSW,2203,1107,1674,3207,2101,303,na,8392
193,NSW,2204,2196,3357,6129,3507,456,na,15645
194,NSW,2205,2346,2846,4474,2021,166,na,11853
195,NSW,2206,1747,2466,4092,2399,383,na,11087
196,NSW,2207,2792,3712,5759,2821,335,na,15419
197,NSW,2208,1353,1695,2611,1341,166,na,7166
198,NSW,2209,1939,2213,3263,1467,140,na,9022
199,NSW,2210,3370,4007,5959,2936,398,na,16670
200,NSW,2211,1802,2201,3861,1762,145,na,9771
201,NSW,2212,1529,1951,3496,1548,123,na,8647
202,NSW,2213,2047,2624,4670,2667,267,na,12275
203,NSW,2214,386,515,930,474,38,na,2343
204,NSW,2216,3239,4355,6917,2515,290,na,17316
205,NSW,2217,3020,3948,6488,2956,371,na,16783
206,NSW,2218,2038,2374,3768,1607,120,na,9907
207,NSW,2219,1272,1794,2866,1642,324,na,7898
208,NSW,2220,4613,4967,6726,2361,287,na,18954
209,NSW,2221,1822,2317,3370,2135,610,na,10254
210,NSW,2222,1479,1868,2979,1252,161,na,7739
211,NSW,2223,2247,2704,4680,2930,662,na,13223
212,NSW,2224,1567,1963,2937,1751,415,na,8633
213,NSW,2225,567,673,1081,883,271,na,3475
214,NSW,2226,1175,1511,2572,1933,361,na,7552
215,NSW,2227,1470,1842,3093,2145,425,na,8975
216,NSW,2228,1802,2374,4117,2424,386,na,11103
217,NSW,2229,2928,3754,6229,4103,1036,na,18050
218,NSW,2230,2857,3853,7073,4638,1265,na,19686
219,NSW,2231,197,307,502,304,35,na,1345
220,NSW,2232,3279,4005,7440,4721,634,na,20079
221,NSW,2233,2985,3604,6654,4335,434,na,18012
222,NSW,2234,3264,4123,7324,4789,832,na,20332
223,NSW,2250,7002,9106,14521,6488,721,na,37838
224,NSW,2251,3490,4616,6574,3428,459,na,18567
225,NSW,2256,1567,2070,2878,1265,138,na,7918
226,NSW,2257,3245,4147,5493,2361,242,na,15488
227,NSW,2258,536,713,1219,573,95,na,3136
228,NSW,2259,5585,7420,11639,4668,369,na,29681
229,NSW,2260,2759,3387,4871,2939,641,na,14597
230,NSW,2261,5209,7796,12527,4307,338,na,30177
231,NSW,2262,1733,2644,4102,1129,74,na,9682
232,NSW,2263,2125,3010,4390,1321,95,na,10941
233,NSW,2264,1556,1933,2606,1127,115,na,7337
234,NSW,2265,599,731,1083,476,49,na,2938
235,NSW,2267,362,398,501,267,37,na,1565
236,NSW,2278,249,328,617,248,14,na,1456
237,NSW,2280,3012,3417,5417,2826,422,na,15094
238,NSW,2281,1549,1819,2565,1325,166,na,7424
239,NSW,2282,1776,1933,3067,1849,296,na,8921
240,NSW,2283,2642,3046,4536,2087,313,na,12624
241,NSW,2284,1105,1336,2206,861,94,na,5602
242,NSW,2285,2690,3771,6965,3096,180,na,16702
243,NSW,2286,384,471,883,330,18,na,2086
244,NSW,2287,3563,4404,7700,3584,290,na,19541
245,NSW,2289,2050,2420,4147,2464,249,na,11330
246,NSW,2290,3511,4252,7201,3600,423,na,18987
247,NSW,2291,1517,1778,2872,2090,621,na,8878
248,NSW,2292,219,316,599,292,25,na,1451
249,NSW,2293,247,366,658,357,33,na,1661
250,NSW,2294,187,258,465,215,18,na,1143
251,NSW,2295,642,732,1233,754,70,na,3431
252,NSW,2296,175,254,449,212,17,na,1107
253,NSW,2297,151,214,359,161,15,na,900
254,NSW,2298,866,1119,1885,782,43,na,4695
255,NSW,2299,1139,1301,2139,995,85,na,5659
256,NSW,2300,1164,1494,2498,1642,553,na,7351
257,NSW,2302,73,82,144,85,9,na,393
258,NSW,2303,994,1174,1749,1062,237,na,5216
259,NSW,2304,1334,1937,3367,1300,67,na,8005
260,NSW,2305,1238,1568,2652,1738,290,na,7486
261,NSW,2306,171,271,392,na,na,53,887
262,NSW,2307,371,463,791,210,5,na,1840
263,NSW,2308,83,40,7,na,na,6,136
264,NSW,2311,143,134,153,64,5,na,499
265,NSW,2312,194,224,272,53,10,na,753
266,NSW,2315,1914,2220,2579,1185,183,na,8081
267,NSW,2316,699,859,1084,443,64,na,3149
268,NSW,2317,861,958,1139,430,86,na,3474
269,NSW,2318,1293,1460,2621,1292,104,na,6770
270,NSW,2319,657,803,1160,430,24,na,3074
271,NSW,2320,3214,4173,6742,3896,447,na,18472
272,NSW,2321,1409,1759,3032,1747,144,na,8091
273,NSW,2322,1731,2355,4099,1772,140,na,10097
274,NSW,2323,2512,3098,5247,2690,230,na,13777
275,NSW,2324,2446,2966,4564,1646,146,na,11768
276,NSW,2325,2437,3297,4544,2195,190,na,12663
277,NSW,2326,584,886,1342,507,26,na,3345
278,NSW,2327,655,920,1435,463,23,na,3496
279,NSW,2328,264,297,439,283,23,na,1306
280,NSW,2329,239,277,371,147,13,na,1047
281,NSW,2330,2118,2313,3327,3147,426,na,11331
282,NSW,2333,1198,1494,2105,1927,179,na,6903
283,NSW,2334,226,345,518,322,18,na,1429
284,NSW,2335,561,752,1158,872,78,na,3421
285,NSW,2336,265,255,485,339,32,na,1376
286,NSW,2337,897,1096,1611,885,118,na,4607
287,NSW,2338,184,180,216,89,6,na,675
288,NSW,2339,122,106,139,45,6,na,418
289,NSW,2340,5074,6742,11384,3836,328,na,27364
290,NSW,2341,134,202,225,na,na,81,642
291,NSW,2342,82,62,94,na,na,34,272
292,NSW,2343,618,654,986,368,43,na,2669
293,NSW,2344,106,103,170,na,na,66,445
294,NSW,2345,113,95,181,55,5,na,449
295,NSW,2346,326,387,514,153,11,na,1391
296,NSW,2347,209,264,290,80,10,na,853
297,NSW,2350,2977,3511,5118,2029,218,na,13853
298,NSW,2351,32,22,4,na,na,14,72
299,NSW,2352,267,387,620,172,8,na,1454
300,NSW,2353,113,145,234,na,na,61,553
301,NSW,2354,561,615,730,235,22,na,2163
302,NSW,2355,88,92,107,na,na,28,315
303,NSW,2356,19,23,14,na,na,4,60
304,NSW,2357,437,564,681,266,23,na,1971
305,NSW,2358,479,622,790,193,15,na,2099
306,NSW,2359,124,114,104,na,na,31,373
307,NSW,2360,1483,2024,2974,710,77,na,7268
308,NSW,2361,132,106,118,na,na,29,385
309,NSW,2365,458,599,731,139,18,na,1945
310,NSW,2369,69,117,128,na,na,18,332
311,NSW,2370,947,1137,1257,349,18,na,3708
312,NSW,2371,163,189,141,na,na,37,530
313,NSW,2372,725,770,790,177,16,na,2478
314,NSW,2379,63,51,61,25,9,na,209
315,NSW,2380,1179,1242,1949,1103,135,na,5608
316,NSW,2381,129,159,232,79,13,na,612
317,NSW,2382,165,155,231,118,9,na,678
318,NSW,2386,66,47,77,na,na,26,216
319,NSW,2387,50,40,36,na,na,9,135
320,NSW,2388,322,328,545,165,29,na,1389
321,NSW,2390,937,1139,1831,821,73,na,4801
322,NSW,2395,79,85,72,na,na,25,261
323,NSW,2396,97,112,152,29,7,na,397
324,NSW,2397,45,60,110,22,9,na,246
325,NSW,2398,26,28,50,20,14,na,138
326,NSW,2399,70,80,127,48,9,na,334
327,NSW,2400,968,1278,2299,818,126,na,5489
328,NSW,2401,46,39,67,na,na,17,169
329,NSW,2402,227,243,326,90,11,na,897
330,NSW,2403,107,111,120,na,na,21,359
331,NSW,2404,250,226,285,na,na,83,844
332,NSW,2405,59,54,101,61,15,na,290
333,NSW,2406,100,103,187,58,12,na,460
334,NSW,2408,46,43,83,48,12,na,232
335,NSW,2409,70,82,90,33,9,na,284
336,NSW,2410,33,27,30,12,5,na,107
337,NSW,2411,12,13,36,na,na,7,68
338,NSW,2415,40,68,58,na,na,20,186
339,NSW,2420,542,563,679,268,28,na,2080
340,NSW,2421,230,257,361,197,31,na,1076
341,NSW,2422,778,787,832,274,33,na,2704
342,NSW,2423,397,428,445,142,15,na,1427
343,NSW,2424,62,58,53,na,na,13,186
344,NSW,2425,202,250,334,156,11,na,953
345,NSW,2426,73,91,124,na,na,27,315
346,NSW,2427,414,367,394,155,16,na,1346
347,NSW,2428,2877,3326,3796,1150,153,na,11302
348,NSW,2429,1186,1349,1759,391,25,na,4710
349,NSW,2430,3669,4688,5793,1647,169,na,15966
350,NSW,2431,640,700,815,223,27,na,2405
351,NSW,2439,336,392,480,145,15,na,1368
352,NSW,2440,2142,2977,3646,888,74,na,9727
353,NSW,2441,617,717,836,245,35,na,2450
354,NSW,2443,1118,1226,1399,366,26,na,4135
355,NSW,2444,5333,6728,9011,3495,408,na,24975
356,NSW,2445,883,924,1253,477,47,na,3584
357,NSW,2446,1633,1879,2575,704,78,na,6869
358,NSW,2447,939,1016,1278,319,30,na,3582
359,NSW,2448,968,1197,1338,388,33,na,3924
360,NSW,2449,283,306,298,67,6,na,960
361,NSW,2450,5005,6727,8956,2941,391,na,24020
362,NSW,2452,1574,2161,3065,874,63,na,7737
363,NSW,2453,437,507,423,137,13,na,1517
364,NSW,2454,1017,1205,1328,447,44,na,4041
365,NSW,2455,340,445,579,165,16,na,1545
366,NSW,2456,2085,2501,3001,912,70,na,8569
367,NSW,2460,3092,3922,5147,1526,113,na,13800
368,NSW,2462,271,343,318,97,10,na,1039
369,NSW,2463,936,1087,1254,351,31,na,3659
370,NSW,2464,923,1096,1102,354,53,na,3528
371,NSW,2465,56,48,58,na,na,25,187
372,NSW,2466,222,206,194,54,6,na,682
373,NSW,2469,523,565,499,129,11,na,1727
374,NSW,2470,1535,2032,3029,531,36,na,7163
375,NSW,2471,310,309,473,75,6,na,1173
376,NSW,2472,249,298,410,91,5,na,1053
377,NSW,2473,336,390,532,182,15,na,1455
378,NSW,2474,876,932,1028,230,31,na,3097
379,NSW,2475,59,56,47,na,na,12,174
380,NSW,2476,94,104,119,na,na,33,350
381,NSW,2477,1570,1917,2452,831,104,na,6874
382,NSW,2478,3550,4735,5836,2174,317,na,16612
383,NSW,2479,799,895,979,405,123,na,3201
384,NSW,2480,5249,6708,9220,2477,271,na,23925
385,NSW,2481,2228,2674,2595,923,256,na,8676
386,NSW,2482,1048,1242,1157,318,52,na,3817
387,NSW,2483,1458,2078,1966,600,78,na,6180
388,NSW,2484,2296,3000,3540,914,109,na,9859
389,NSW,2485,1466,2227,2647,747,103,na,7190
390,NSW,2486,3319,4714,6375,1817,200,na,16425
391,NSW,2487,1480,1900,2621,1224,216,na,7441
392,NSW,2488,406,577,715,258,17,na,1973
393,NSW,2489,818,1086,1339,541,43,na,3827
394,NSW,2490,83,112,157,58,5,na,415
395,NSW,2500,4209,5192,7190,3986,544,na,21121
396,NSW,2502,956,1495,1876,592,41,na,4960
397,NSW,2505,413,607,948,408,31,na,2407
398,NSW,2506,620,992,1408,510,24,na,3554
399,NSW,2508,878,1145,2000,1310,176,na,5509
400,NSW,2515,1244,1400,2148,1684,413,na,6889
401,NSW,2516,623,676,1203,910,172,na,3584
402,NSW,2517,1326,1607,2509,1717,205,na,7364
403,NSW,2518,1877,2492,3676,1926,166,na,10137
404,NSW,2519,1869,2102,3072,1805,251,na,9099
405,NSW,2525,1268,1453,2213,1425,182,na,6541
406,NSW,2526,1597,2068,3139,1840,195,na,8839
407,NSW,2527,1848,2832,4649,2166,125,na,11620
408,NSW,2528,2020,2961,4223,1670,116,na,10990
409,NSW,2529,2498,3473,5216,3011,287,na,14485
410,NSW,2530,3062,4143,6513,3106,191,na,17015
411,NSW,2533,2040,2233,3090,1923,292,na,9578
412,NSW,2534,732,781,1039,692,93,na,3337
413,NSW,2535,960,1092,1394,632,122,na,4200
414,NSW,2536,2101,2797,3335,803,115,na,9151
415,NSW,2537,1514,1856,2336,645,76,na,6427
416,NSW,2538,318,404,425,158,36,na,1341
417,NSW,2539,2325,3051,3109,850,110,na,9445
418,NSW,2540,4778,6084,7742,2934,275,na,21813
419,NSW,2541,2343,3613,5117,1682,124,na,12879
420,NSW,2545,159,169,205,42,13,na,588
421,NSW,2546,1287,1503,1511,401,52,na,4754
422,NSW,2548,1048,1318,1620,493,68,na,4547
423,NSW,2549,427,657,801,248,24,na,2157
424,NSW,2550,2045,2486,3431,1028,112,na,9102
425,NSW,2551,418,552,684,224,14,na,1892
426,NSW,2555,27,34,53,na,na,26,140
427,NSW,2556,242,364,548,224,48,na,1426
428,NSW,2557,657,948,2037,1009,86,na,4737
429,NSW,2558,878,1432,3081,936,43,na,6370
430,NSW,2559,171,254,402,na,na,70,897
431,NSW,2560,6162,9122,18079,6143,352,na,39858
432,NSW,2563,29,43,69,25,6,na,172
433,NSW,2564,1092,1682,2995,766,26,na,6561
434,NSW,2565,1858,2500,4777,1850,146,na,11131
435,NSW,2566,2189,3361,6675,2117,96,na,14438
436,NSW,2567,2957,4499,9123,5314,406,na,22299
437,NSW,2568,123,178,228,136,26,na,691
438,NSW,2569,132,193,305,188,17,na,835
439,NSW,2570,3538,4717,9128,5393,618,na,23394
440,NSW,2571,1041,1493,2645,1652,199,na,7030
441,NSW,2572,406,529,917,481,46,na,2379
442,NSW,2573,433,610,1131,441,20,na,2635
443,NSW,2574,516,783,1251,621,39,na,3210
444,NSW,2575,1733,2243,3379,1420,204,na,8979
445,NSW,2576,1906,2028,2450,1459,504,na,8347
446,NSW,2577,1842,2185,3171,1352,235,na,8785
447,NSW,2578,391,410,476,220,15,na,1512
448,NSW,2579,515,586,739,359,47,na,2246
449,NSW,2580,2893,3723,6144,2639,181,na,15580
450,NSW,2581,244,253,460,254,28,na,1239
451,NSW,2582,1275,1515,2698,1793,211,na,7492
452,NSW,2583,573,725,874,314,24,na,2510
453,NSW,2584,66,85,113,na,na,48,312
454,NSW,2585,34,28,52,27,5,na,146
455,NSW,2586,345,353,516,157,17,na,1388
456,NSW,2587,285,401,587,172,21,na,1466
457,NSW,2588,55,44,74,39,12,na,224
458,NSW,2590,827,961,1482,448,50,na,3768
459,NSW,2594,1200,1716,2350,676,74,na,6016
460,NSW,2618,184,144,276,212,61,na,877
461,NSW,2619,727,839,1998,2137,354,na,6055
462,NSW,2620,3130,4381,10064,5841,619,na,24035
463,NSW,2621,511,625,1382,1176,165,na,3859
464,NSW,2622,506,536,723,361,34,na,2160
465,NSW,2623,54,52,177,na,na,60,343
466,NSW,2624,19,18,14,na,na,4,55
467,NSW,2625,38,54,84,na,na,16,192
468,NSW,2626,51,62,118,na,na,65,296
469,NSW,2627,565,764,1034,393,50,na,2806
470,NSW,2628,230,291,377,131,7,na,1036
471,NSW,2629,84,89,87,na,na,27,287
472,NSW,2630,937,1270,1954,671,78,na,4910
473,NSW,2631,95,74,122,40,7,na,338
474,NSW,2632,198,279,437,152,13,na,1079
475,NSW,2633,39,72,69,na,na,27,207
476,NSW,2640,3753,5084,8495,3319,428,na,21079
477,NSW,2641,1436,2276,3473,784,46,na,8015
478,NSW,2642,596,747,1165,406,30,na,2944
479,NSW,2643,343,408,573,165,12,na,1501
480,NSW,2644,331,377,483,173,33,na,1397
481,NSW,2645,44,57,87,na,na,40,228
482,NSW,2646,839,1045,1454,497,54,na,3889
483,NSW,2647,259,350,473,112,13,na,1207
484,NSW,2648,343,335,380,137,18,na,1213
485,NSW,2650,5325,7540,13667,5482,588,na,32602
486,NSW,2651,145,239,552,na,na,172,1108
487,NSW,2652,598,698,1065,429,33,na,2823
488,NSW,2653,296,321,517,210,10,na,1354
489,NSW,2655,160,183,341,na,na,102,786
490,NSW,2656,129,179,275,105,22,na,710
491,NSW,2658,177,198,247,76,12,na,710
492,NSW,2659,127,133,202,57,5,na,524
493,NSW,2660,185,231,318,108,8,na,850
494,NSW,2661,13,14,59,na,na,47,133
495,NSW,2663,419,550,939,306,9,na,2223
496,NSW,2665,264,350,418,152,19,na,1203
497,NSW,2666,675,788,1130,405,37,na,3035
498,NSW,2668,58,68,69,na,na,26,221
499,NSW,2669,207,268,345,112,20,na,952
500,NSW,2671,472,591,762,340,31,na,2196
501,NSW,2672,156,236,298,98,19,na,807
502,NSW,2675,216,252,408,98,19,na,993
503,NSW,2680,2761,3651,6031,1821,164,na,14428
504,NSW,2681,179,253,403,115,7,na,957
505,NSW,2700,517,657,1045,315,16,na,2550
506,NSW,2701,243,306,502,215,28,na,1294
507,NSW,2702,78,110,142,48,10,na,388
508,NSW,2703,93,96,173,na,na,44,406
509,NSW,2705,1109,1438,2392,704,41,na,5684
510,NSW,2706,97,171,308,na,na,51,627
511,NSW,2707,174,236,345,108,19,na,882
512,NSW,2710,1326,1611,2243,615,54,na,5849
513,NSW,2711,403,519,765,222,14,na,1923
514,NSW,2712,169,215,261,85,12,na,742
515,NSW,2713,372,478,578,148,19,na,1595
516,NSW,2714,322,433,467,148,21,na,1391
517,NSW,2715,157,216,333,83,6,na,795
518,NSW,2716,143,202,248,98,15,na,706
519,NSW,2717,128,183,214,58,7,na,590
520,NSW,2720,746,1094,1678,769,59,na,4346
521,NSW,2721,29,37,29,na,na,20,115
522,NSW,2722,353,477,679,200,31,na,1740
523,NSW,2725,41,36,64,na,na,27,168
524,NSW,2726,33,51,59,na,na,24,167
525,NSW,2727,42,66,83,21,6,na,218
526,NSW,2729,169,252,335,135,21,na,912
527,NSW,2730,184,216,318,na,na,94,812
528,NSW,2731,751,930,1270,458,51,na,3460
529,NSW,2732,279,304,341,99,11,na,1034
