,"DETAILED TABLE 2.6b: Selected items, by taxable status, state/territory1 and postcode, 2010-11 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Non-taxable individuals,,,,,,,,Taxable individuals,,,,,,,,All individuals,,,,,,,
2,Postcode,State/Territory1,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax
3,,,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$
1597,4478,QLD,100,5,-10908,100,686832,75,909503,0,200,35,15714,200,10858191,200,9980242,1645376,300,40,4806,300,11545023,275,10889745,1645376
1598,4479,QLD,5,5,-5083,5,93739,5,50122,0,5,5,-5083,5,234876,5,227291,22011,15,5,-10166,15,328615,10,277413,22011
1599,4480,QLD,140,20,5949,135,1196572,105,1390465,0,355,60,-19373,355,19843794,355,18584101,3307895,495,85,-13424,490,21040366,460,19974566,3307895
1600,4481,QLD,30,5,3175,30,519903,20,295063,0,65,15,-22605,65,3441042,65,3289280,519084,95,15,-19430,95,3960945,85,3584343,519084
1601,4482,QLD,10,5,-77451,10,109957,10,132560,0,65,15,-87346,65,3576952,65,3370107,607649,75,15,-164797,75,3686909,70,3502667,607649
1602,4486,QLD,170,15,-101586,155,4308768,110,1222852,0,290,25,-112125,290,19024325,290,17247847,3438885,460,40,-213711,445,23333093,400,18470699,3438885
1603,4487,QLD,610,40,-4507,575,6242882,475,5293570,0,1390,180,-724378,1390,78446722,1390,73292819,13614655,1995,220,-728885,1965,84689604,1865,78586389,13614655
1604,4488,QLD,75,5,-4022,75,1152859,55,617052,0,90,10,-59989,90,4610402,90,4142119,639630,170,15,-64011,165,5763261,150,4759171,639630
1605,4489,QLD,20,0,0,20,191083,15,155150,0,30,5,-11718,30,1730271,30,1676262,288205,50,5,-11718,50,1921354,45,1831412,288205
1606,4490,QLD,235,25,34729,205,1925086,160,1972472,0,575,85,-137000,575,32626865,575,30304357,5421771,810,110,-102271,780,34551951,730,32276829,5421771
1607,4491,QLD,15,0,0,15,218499,10,186286,0,25,5,-42495,25,1257553,25,1222394,207680,40,5,-42495,40,1476052,35,1408680,207680
1608,4492,QLD,30,5,19582,30,364691,25,345509,0,120,20,-89064,120,6948103,120,6492150,1095059,150,20,-69482,150,7312794,145,6837659,1095059
1609,4493,QLD,5,5,4406,5,44589,5,43041,0,5,0,0,5,250245,5,244640,33460,10,5,4406,10,294834,10,287681,33460
1610,4494,QLD,30,5,211,30,412254,20,252306,0,50,10,-5703,50,2921735,50,2523182,409281,80,10,-5492,80,3333989,70,2775488,409281
1611,4496,QLD,70,5,-33913,65,744882,50,565838,0,130,20,-36566,130,7398722,130,6407393,1038705,200,30,-70479,200,8143604,185,6973231,1038705
1612,4497,QLD,75,10,-5666,70,738787,60,645777,0,145,20,-11214,145,11008371,145,9577004,1835200,220,30,-16880,215,11747158,205,10222781,1835200
1613,4498,QLD,50,10,236343,50,2413546,30,335084,0,65,20,-76780,65,3869413,65,3320402,645394,115,25,159563,115,6282959,95,3655486,645394
1614,4500,QLD,4910,385,-2256984,4685,51291899,4475,49759464,0,17955,2065,-14377024,17955,1049743680,17955,1008224859,198026041,22865,2450,-16634008,22635,1101035579,22430,1057984323,198026041
1615,4501,QLD,730,60,-146244,680,7604395,655,7561743,0,2335,220,-1290385,2335,122914940,2335,118008275,21180568,3065,280,-1436629,3010,130519335,2985,125570018,21180568
1616,4502,QLD,1120,95,-511046,1060,11350127,1015,11062348,0,4055,465,-3283368,4055,231893717,4055,222771874,42870687,5175,560,-3794414,5115,243243844,5070,233834222,42870687
1617,4503,QLD,4370,370,-1612441,4095,45783781,3940,44154034,0,15575,1645,-10126417,15575,873639392,15575,835846179,158515572,19940,2015,-11738858,19665,919423173,19510,880000213,158515572
1618,4504,QLD,2140,205,-670445,1990,21489403,1885,20330228,0,7240,875,-6287890,7240,425660858,7240,406099522,79523712,9380,1080,-6958335,9230,447150261,9125,426429750,79523712
1619,4505,QLD,2720,265,-1271895,2590,27490676,2410,27266067,0,7830,1050,-7203330,7830,436647458,7830,415039377,77775352,10555,1315,-8475225,10425,464138134,10245,442305444,77775352
1620,4506,QLD,3020,215,-1452982,2805,31676538,2645,30785470,0,8260,825,-4674378,8260,432264209,8260,411357821,72950231,11280,1040,-6127360,11065,463940747,10900,442143291,72950231
1621,4507,QLD,3260,340,-1042857,3135,38988105,2995,38016906,0,5275,830,-2569888,5275,305863928,5275,289357999,55291392,8535,1170,-3612745,8410,344852033,8270,327374905,55291392
1622,4508,QLD,2610,165,-785334,2330,29478742,2245,28127242,0,6820,610,-3333809,6820,345412093,6820,329036133,55600077,9435,775,-4119143,9155,374890835,9065,357163375,55600077
1623,4509,QLD,2350,255,-1652269,2220,22821689,2095,22799772,0,8525,1150,-10150578,8525,553626113,8525,527069405,112200462,10875,1400,-11802847,10745,576447802,10620,549869177,112200462
1624,4510,QLD,6715,485,-1682679,6195,70349909,5895,68559691,0,14810,1460,-5012231,14810,765665272,14810,727041580,127013098,21525,1945,-6694910,21005,836015181,20705,795601271,127013098
1625,4511,QLD,1365,115,-545409,1300,15095361,1230,14994452,0,2665,300,-1340990,2665,146213738,2665,139193608,25182938,4030,415,-1886399,3960,161309099,3895,154188060,25182938
1626,4512,QLD,620,65,-426270,595,5644528,555,5523149,0,1355,230,-1057443,1355,77249915,1355,72315865,13846590,1975,300,-1483713,1950,82894443,1910,77839014,13846590
1627,4514,QLD,935,120,-130388,890,8048363,770,9085307,0,2060,305,-795636,2060,111283624,2060,105580594,19005225,3000,425,-926024,2950,119331987,2835,114665901,19005225
1628,4515,QLD,620,65,-234789,595,5894798,515,5987922,0,1350,150,-436041,1350,71981573,1350,68855798,12196275,1970,215,-670830,1945,77876371,1865,74843720,12196275
1629,4516,QLD,655,80,-33719,630,6638021,590,6236234,0,1655,245,-1331861,1655,91780483,1655,86716907,15686941,2315,330,-1365580,2285,98418504,2245,92953141,15686941
1630,4517,QLD,110,10,-48242,110,1237231,105,1120100,0,280,35,-117855,280,15679640,280,14900429,2770658,390,45,-166097,385,16916871,380,16020529,2770658
