Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Semi-detached, row or terrace house, townhouse etc. with one storey",Flat or apartment in a one or two storey block,Flat or apartment in a three storey block,Flat or apartment in a four or more storey block,Flat or apartment attached to a house,Caravan,"Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3278, VIC",119,0,0,0,0,0,0,0,0,0,0,116
"3279, VIC",97,0,0,0,0,0,0,0,0,0,0,101
"3280, VIC",11223,440,1596,837,90,0,0,52,40,11,18,14315
"3281, VIC",614,0,0,0,0,0,0,0,0,0,0,617
"3282, VIC",938,0,23,5,0,0,0,0,0,4,11,970
"3283, VIC",541,0,0,4,0,0,0,0,0,0,0,545
"3284, VIC",1934,83,93,41,0,0,0,13,30,7,17,2219
"3285, VIC",545,0,0,0,0,0,0,5,8,5,6,560
"3286, VIC",298,0,0,0,0,0,0,0,0,0,4,298
"3287, VIC",172,0,0,3,0,0,0,0,0,0,0,177
"3289, VIC",381,0,3,6,0,0,0,0,0,0,9,394
"3292, VIC",264,0,0,0,0,0,0,0,0,0,0,264
"3293, VIC",161,0,0,0,0,0,0,0,0,0,0,164
"3294, VIC",440,0,13,0,0,0,0,0,0,0,0,458
"3300, VIC",4531,7,210,154,0,0,0,15,8,9,12,4944
"3301, VIC",550,0,0,0,0,0,0,0,0,15,0,573
"3302, VIC",191,0,0,0,0,0,0,0,0,0,0,191
"3303, VIC",162,0,0,0,0,0,0,0,0,0,0,162
"3304, VIC",1290,0,3,46,0,0,0,9,11,0,4,1359
"3305, VIC",5551,21,242,322,5,8,4,42,28,13,31,6265
"3309, VIC",59,0,0,0,0,0,0,0,0,0,0,59
"3310, VIC",137,0,0,0,0,0,0,0,0,0,5,136
"3311, VIC",894,0,8,15,0,0,0,0,0,0,9,932
"3312, VIC",530,0,0,0,0,0,0,5,0,0,0,534
"3314, VIC",254,0,0,0,0,0,0,0,0,0,0,258
"3315, VIC",819,0,15,0,0,0,0,0,0,0,3,849
"3317, VIC",102,0,3,0,0,0,0,0,0,0,0,108
"3318, VIC",662,0,31,20,0,0,0,0,3,4,6,721
"3319, VIC",208,0,5,0,0,0,0,0,0,3,3,220
"3321, VIC",570,0,6,0,0,0,0,0,0,0,0,578
"3322, VIC",92,0,0,0,0,0,0,0,0,0,0,92
"3323, VIC",56,0,0,0,0,0,0,0,0,0,0,56
