Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
3401,1871,0,0,0,0,0,4,38,10,0,1926
3407,264,0,0,0,0,0,0,8,0,0,279
3409,501,0,3,7,0,0,11,6,0,0,525
3412,126,0,0,0,0,0,0,3,0,3,134
3413,53,0,0,0,0,0,0,0,0,0,53
3414,855,5,3,14,0,0,0,4,0,0,879
3418,1314,0,0,76,0,0,0,19,3,11,1421
3419,466,3,0,15,0,0,0,3,0,7,489
3420,179,0,0,0,0,0,0,14,0,0,193
3423,315,0,0,15,0,0,0,0,0,7,337
3424,474,0,0,17,0,0,0,0,0,3,493
3427,873,3,0,14,0,0,0,0,0,0,888
3428,128,0,0,0,0,0,0,0,0,0,128
3429,10506,578,122,365,3,0,4,4,4,9,11604
3431,984,29,0,6,0,0,0,0,0,0,1015
3434,1795,0,0,49,0,6,0,0,0,0,1848
3435,915,0,0,10,0,0,0,15,0,4,947
3437,2556,97,10,123,0,0,5,5,0,3,2802
3438,565,16,0,3,0,0,0,5,0,3,588
3440,685,8,0,0,0,0,0,26,0,0,720
3441,714,0,0,0,0,0,0,0,0,0,718
3442,2685,44,0,44,0,0,5,8,5,7,2790
3444,3492,32,7,214,0,0,4,32,19,16,3818
3446,241,4,0,0,0,0,0,0,0,0,249
3447,111,0,0,0,0,0,0,0,0,0,109
3448,337,0,0,0,0,0,0,0,0,0,337
3450,2967,161,0,174,3,4,3,22,0,10,3345
3451,1968,5,0,5,0,0,4,19,3,6,2012
3453,495,0,0,0,0,0,0,0,0,0,504
3458,745,33,0,6,0,0,0,3,0,7,794
3460,1199,126,34,44,0,0,4,13,0,9,1433
3461,2352,24,0,0,0,0,0,28,21,14,2439
3462,560,4,0,12,0,0,0,6,0,0,588
3463,1240,25,0,12,0,0,3,14,3,0,1292
3464,288,3,0,21,0,0,0,0,0,5,313
3465,4074,124,0,250,0,0,6,47,8,41,4542
3467,591,0,0,13,7,0,0,5,0,13,631
3468,231,4,0,0,0,0,0,3,3,0,245
3469,143,0,0,0,0,0,0,0,0,0,149
3472,487,0,0,29,0,0,0,18,3,4,542
3475,270,0,0,0,0,0,0,9,16,0,296
3478,1603,113,0,89,0,0,3,39,28,13,1882
3480,758,0,0,64,0,0,0,7,0,18,843
3482,92,0,0,0,0,0,0,4,0,0,93
3483,464,0,0,28,0,0,0,0,0,3,489
3485,140,0,0,4,0,0,0,0,0,8,154
3487,60,0,0,0,0,0,0,0,0,0,61
3490,650,3,0,34,0,0,0,10,0,7,699
3491,226,0,0,0,0,0,0,3,0,0,230
3494,146,0,0,6,0,0,0,42,7,0,201
3496,2233,36,0,84,0,0,6,54,13,11,2439
3498,2025,16,0,41,0,0,6,43,6,0,2138
3500,9400,1145,51,1544,5,0,6,338,7,16,12514
3501,640,0,0,8,0,0,0,104,16,3,772
3505,1690,18,0,84,0,0,0,54,0,10,1858
3507,50,0,0,3,0,0,0,0,0,3,56
3509,143,0,0,0,0,0,0,0,0,0,141
