Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3032, Vic",5384,663,1357,1398,1485,774,11,0,3,36,11108
"3033, Vic",4717,210,165,150,0,0,0,0,0,7,5253
"3034, Vic",3803,158,87,299,8,0,3,0,0,13,4379
"3036, Vic",1994,172,20,59,0,0,0,0,0,0,2248
"3037, Vic",12816,719,463,1211,0,3,0,0,0,0,15214
"3038, Vic",8764,155,246,176,0,0,0,0,0,4,9339
"3039, Vic",3579,412,404,752,494,295,0,0,0,28,5957
"3040, Vic",6169,835,518,2027,401,165,7,0,0,37,10150
"3041, Vic",3400,238,133,495,128,26,0,0,0,12,4441
"3042, Vic",4918,455,214,636,7,0,0,0,0,6,6245
"3043, Vic",5912,496,141,594,3,0,5,3,0,12,7159
"3044, Vic",7219,1158,730,942,67,179,7,0,0,25,10321
"3045, Vic",29,0,0,0,0,0,0,0,0,0,29
"3046, Vic",9281,1475,693,971,76,54,7,0,7,25,12595
"3047, Vic",5746,262,118,448,66,74,6,0,3,0,6725
"3048, Vic",4656,526,88,289,0,14,5,0,0,3,5586
"3049, Vic",2798,125,217,18,0,0,0,90,0,6,3261
"3051, Vic",218,895,1170,543,1106,1918,12,0,29,49,5936
"3052, Vic",183,174,466,268,321,479,0,0,0,0,1888
"3053, Vic",220,523,866,308,1232,4549,3,0,7,25,7729
"3054, Vic",320,2060,703,223,657,76,0,0,0,37,4077
"3055, Vic",2704,733,458,2195,102,135,14,0,0,35,6379
"3056, Vic",4542,1524,846,2005,759,913,3,0,4,94,10699
"3057, Vic",1665,458,621,824,139,361,4,0,3,28,4105
"3058, Vic",9411,972,805,1181,261,269,14,51,3,59,13031
"3059, Vic",3460,38,40,24,0,0,0,0,0,0,3568
"3060, Vic",4228,246,30,263,0,0,0,0,0,13,4781
"3061, Vic",1501,41,78,60,0,0,0,157,0,12,1850
"3062, Vic",0,0,0,0,0,0,0,0,0,0,0
"3063, Vic",235,0,0,0,0,0,0,0,0,0,235
"3064, Vic",13988,1624,973,194,0,0,0,0,0,4,16792
"3065, Vic",125,831,915,667,654,1386,3,0,49,59,4679
"3066, Vic",407,458,1071,333,325,774,3,0,12,53,3429
"3067, Vic",611,554,339,373,257,125,0,0,5,9,2277
"3068, Vic",2119,2595,1433,943,846,267,6,0,15,47,8265
"3070, Vic",5817,1274,679,1562,392,363,12,0,4,122,10226
"3071, Vic",4674,461,212,2602,138,8,3,0,0,102,8197
"3072, Vic",8334,1090,521,1584,452,383,4,0,15,110,12492
"3073, Vic",14336,2229,587,3069,7,83,19,21,0,55,20400
"3074, Vic",6735,157,86,494,0,0,6,0,0,5,7491
"3075, Vic",6774,226,108,228,0,0,3,0,0,8,7356
"3076, Vic",7356,567,531,635,40,8,4,0,0,3,9143
"3078, Vic",2613,294,224,1372,65,0,7,0,0,25,4594
"3079, Vic",4060,541,467,1001,77,41,11,0,0,15,6199
"3081, Vic",4016,578,309,813,13,32,51,0,4,9,5829
"3082, Vic",9691,132,200,250,13,10,6,0,0,0,10307
"3083, Vic",9204,165,427,490,299,21,7,0,4,3,10619
"3084, Vic",7562,587,413,1183,90,140,3,0,0,10,9999
"3085, Vic",4545,393,131,162,137,9,3,0,0,5,5382
"3086, Vic",0,0,0,0,0,0,0,0,0,0,0
"3087, Vic",3317,105,50,176,3,9,0,0,0,3,3671
"3088, Vic",9049,412,237,407,0,31,15,0,0,8,10162
"3089, Vic",3711,29,68,103,0,0,0,0,0,0,3913
"3090, Vic",639,0,0,0,0,0,0,0,0,0,641
"3091, Vic",497,0,0,0,0,0,0,0,0,3,505
"3093, Vic",1092,206,126,55,47,0,0,0,0,4,1527
"3094, Vic",3007,420,81,141,0,0,4,0,0,10,3669
"3095, Vic",9000,327,147,266,10,0,8,0,0,10,9768
"3096, Vic",604,3,0,0,0,0,0,0,0,0,612
"3097, Vic",457,24,0,0,0,0,0,0,0,0,476
"3099, Vic",1714,4,0,35,0,0,4,5,0,0,1764
"3101, Vic",5790,723,883,1481,572,284,17,0,0,59,9816
"3102, Vic",1585,316,119,342,0,0,0,0,0,8,2369
"3103, Vic",4122,1045,229,715,67,0,3,0,0,40,6231
"3104, Vic",6539,412,292,309,33,0,9,0,0,14,7599
"3105, Vic",3788,90,158,289,41,32,4,0,3,0,4413
"3106, Vic",4980,206,361,227,16,117,3,0,0,0,5905
"3107, Vic",4265,251,344,172,8,48,0,0,0,5,5099
"3108, Vic",5602,681,686,466,176,187,3,0,0,6,7805
"3109, Vic",7986,934,708,688,48,31,4,0,3,5,10400
"3111, Vic",3664,377,255,55,17,0,4,0,0,3,4373
"3113, Vic",2855,22,0,7,0,0,9,38,0,7,2934
"3114, Vic",1191,0,0,0,0,0,0,0,0,0,1192
"3115, Vic",1245,0,0,0,0,0,3,0,0,0,1243
"3116, Vic",3350,3,54,41,0,0,0,0,0,0,3450
"3121, Vic",3715,1961,1980,1441,1812,2445,3,0,12,68,13432
"3122, Vic",3278,660,628,2431,2297,948,19,0,0,54,10320
"3123, Vic",2368,637,420,1175,943,372,0,0,0,33,5946
"3124, Vic",5484,688,268,1052,46,62,4,0,0,23,7628
"3125, Vic",3619,586,316,603,145,0,24,0,0,3,5292
"3126, Vic",2061,429,91,333,96,0,3,0,0,16,3033
"3127, Vic",4517,1422,328,682,30,67,10,0,0,27,7093
"3128, Vic",3830,1154,839,882,416,318,13,0,3,15,7464
"3129, Vic",4966,929,217,459,4,7,16,0,0,11,6602
"3130, Vic",9805,921,273,1053,15,63,19,0,4,9,12152
"3131, Vic",6480,1065,268,929,4,23,5,0,0,8,8788
"3132, Vic",4453,980,411,394,4,0,3,0,0,0,6258
"3133, Vic",7275,156,178,448,0,10,11,0,0,3,8088
"3134, Vic",9492,1891,243,402,131,80,16,3,7,16,12277
"3135, Vic",6116,1302,112,333,16,6,13,0,10,12,7922
"3136, Vic",12691,2949,317,506,112,0,10,0,0,15,16600
"3137, Vic",4211,158,53,764,0,0,0,3,3,3,5194
"3138, Vic",7324,71,24,209,0,0,9,0,0,12,7647
"3139, Vic",4817,261,18,44,0,0,3,17,7,4,5152
"3140, Vic",4902,544,93,403,0,61,3,59,3,4,6071
"3141, Vic",1657,663,1086,1099,3899,3146,7,0,3,33,11597
"3142, Vic",2303,268,813,1489,1423,587,3,0,0,3,6899
"3143, Vic",1505,456,669,531,1340,15,4,0,0,25,4545
"3144, Vic",2334,434,257,715,398,219,0,0,0,42,4411
"3145, Vic",5276,1009,443,1393,377,162,34,0,0,68,8762
"3146, Vic",5930,912,488,2136,394,364,8,0,0,14,10249
"3147, Vic",4268,472,156,365,0,0,67,0,0,35,5359
"3148, Vic",2294,457,300,173,0,21,0,0,0,3,3241
"3149, Vic",10166,1017,524,969,35,45,12,0,3,15,12790
"3150, Vic",18528,1311,767,1068,70,90,12,0,0,10,21855
"3151, Vic",3558,250,71,25,39,0,5,0,0,4,3953
"3152, Vic",9875,723,353,298,0,17,9,168,0,6,11459
"3153, Vic",5746,1340,141,855,43,31,8,10,3,11,8198
"3154, Vic",1523,6,14,37,0,0,6,0,0,0,1597
"3155, Vic",6794,1314,209,312,51,205,7,0,0,4,8901
"3156, Vic",12146,565,93,548,11,0,20,3,0,14,13399
"3158, Vic",2273,249,59,36,0,0,3,0,3,0,2625
"3159, Vic",895,10,0,3,0,0,3,4,0,3,913
"3160, Vic",3197,76,65,77,0,0,8,0,0,4,3428
"3161, Vic",2840,692,419,1888,386,142,7,0,0,16,6389
"3162, Vic",3800,1107,526,1378,40,0,5,0,0,46,6907
"3163, Vic",5149,2190,622,5283,362,38,5,0,5,71,13729
"3165, Vic",8471,835,308,655,12,0,0,0,5,25,10320
"3166, Vic",5735,907,305,1660,182,62,3,0,0,57,8908
"3167, Vic",3150,46,30,260,0,0,4,0,0,0,3489
"3168, Vic",3432,790,502,1409,180,237,13,0,0,3,6562
"3169, Vic",4686,1010,372,862,32,103,6,0,3,15,7088
"3170, Vic",6251,104,202,174,0,0,3,3,3,11,6743
"3171, Vic",5001,626,185,967,129,52,9,111,0,21,7087
"3172, Vic",6542,502,168,553,27,54,0,112,0,6,7964
"3173, Vic",5624,677,132,94,3,0,0,0,0,4,6547
"3174, Vic",8854,815,331,3404,138,382,14,0,3,11,13956
"3175, Vic",11340,851,251,4947,117,274,71,465,17,29,18367
"3177, Vic",3495,49,6,486,0,0,0,0,3,3,4036
"3178, Vic",10905,427,95,180,0,0,0,0,0,3,11612
"3179, Vic",2046,17,35,14,0,0,0,0,0,0,2112
"3180, Vic",2351,283,98,91,0,0,0,0,0,0,2822
"3181, Vic",2524,1331,779,1290,2519,1721,3,0,0,34,10203
"3182, Vic",1268,651,795,2656,4994,2460,8,3,98,103,13028
"3183, Vic",2144,655,484,2554,3280,149,7,0,12,13,9291
"3184, Vic",1521,469,447,2706,2984,158,7,0,14,35,8333
"3185, Vic",2554,450,267,1808,544,61,7,0,0,38,5723
"3186, Vic",5456,803,705,1608,187,270,9,0,3,45,9087
"3187, Vic",4289,590,602,521,10,349,3,0,0,25,6385
"3188, Vic",4522,885,323,959,175,15,5,0,0,17,6898
"3189, Vic",1794,226,62,146,0,0,0,0,0,20,2250
"3190, Vic",2879,745,289,465,0,9,0,0,0,17,4408
"3191, Vic",2365,458,199,436,305,115,3,0,0,5,3879
"3192, Vic",5936,1051,224,1402,33,99,6,0,3,23,8776
"3193, Vic",5881,722,578,486,34,0,6,0,0,34,7736
"3194, Vic",2613,604,322,1841,26,3,3,0,0,19,5427
"3195, Vic",9175,1494,914,1953,140,97,9,0,0,53,13833
"3196, Vic",6481,1638,598,1662,0,0,16,260,4,33,10686
"3197, Vic",3023,442,816,728,77,0,0,0,0,17,5101
"3198, Vic",5383,376,326,1372,35,0,5,97,0,9,7601
"3199, Vic",18383,1305,324,3078,216,3,7,64,18,10,23417
"3200, Vic",2270,43,30,119,0,0,0,0,6,0,2472
"3201, Vic",6276,563,125,273,0,21,3,181,0,3,7450
"3202, Vic",820,11,39,11,4,66,0,0,0,0,953
"3204, Vic",7355,1311,529,1979,151,15,13,0,5,145,11506
"3205, Vic",954,683,798,290,415,1800,0,0,13,86,5036
"3206, Vic",1475,1560,719,436,439,368,6,0,10,29,5041
"3207, Vic",799,1379,1761,382,651,3074,0,0,0,24,8082
"3211, Vic",501,0,0,0,0,0,0,0,3,0,508
"3212, Vic",4756,154,11,208,0,0,4,3,7,4,5142
"3214, Vic",8898,347,51,692,0,0,0,0,4,9,10004
"3215, Vic",7435,374,159,631,28,0,3,42,4,3,8695
"3216, Vic",18069,1046,110,2248,11,0,15,368,8,12,21880
"3217, Vic",383,0,0,20,6,0,0,0,0,0,417
"3218, Vic",4505,351,143,1117,0,0,0,0,0,9,6136
"3219, Vic",7423,504,66,1142,9,0,4,0,3,8,9164
"3220, Vic",4993,450,347,1051,69,188,16,0,30,45,7198
"3221, Vic",3200,8,14,133,0,0,13,50,3,0,3422
"3222, Vic",4792,190,10,128,0,0,3,23,0,8,5154
"3223, Vic",5333,144,81,309,0,0,4,32,3,5,5907
"3224, Vic",3614,38,11,284,9,0,0,95,0,0,4052
"3225, Vic",3006,199,60,93,0,0,3,6,0,13,3382
"3226, Vic",5792,134,121,483,11,0,5,24,0,5,6574
"3227, Vic",2175,110,41,102,0,0,7,10,3,10,2458
"3228, Vic",6246,175,518,578,51,0,11,51,0,12,7633
"3230, Vic",2690,9,30,86,0,0,3,18,0,3,2842
"3231, Vic",1769,11,7,4,0,0,0,3,0,6,1794
"3232, Vic",1165,72,206,159,36,79,7,4,0,0,1734
"3233, Vic",1396,185,340,114,45,0,7,20,3,9,2116
"3235, Vic",209,0,0,0,0,0,0,5,0,0,215
"3236, Vic",167,4,0,0,0,0,0,0,0,0,170
"3237, Vic",308,0,0,0,0,0,0,4,0,0,312
"3238, Vic",113,10,0,0,0,0,0,8,0,0,129
"3239, Vic",236,0,0,0,0,0,0,7,3,0,250
"3240, Vic",756,0,0,0,0,0,0,0,3,0,761
"3241, Vic",977,35,0,0,0,0,0,6,8,0,1029
"3242, Vic",363,0,0,0,0,0,0,0,0,7,367
"3243, Vic",320,0,0,0,0,0,0,0,4,0,330
"3249, Vic",1216,7,0,0,0,0,0,0,3,0,1234
"3250, Vic",4620,275,0,338,0,0,5,38,3,9,5286
"3251, Vic",336,0,0,0,0,0,0,0,0,0,337
"3254, Vic",155,0,0,0,0,0,0,0,0,0,159
"3260, Vic",1950,16,5,105,0,0,0,11,0,9,2102
"3264, Vic",973,15,3,71,0,0,0,9,0,13,1083
"3265, Vic",1059,0,0,0,0,0,0,0,0,3,1060
"3266, Vic",1388,4,4,38,0,0,3,11,3,6,1452
"3267, Vic",117,0,0,0,0,0,0,0,0,0,117
"3268, Vic",1055,13,0,3,0,0,0,0,3,0,1077
"3269, Vic",531,7,0,5,0,0,0,26,0,5,569
"3270, Vic",262,4,0,3,0,0,0,6,0,0,277
"3272, Vic",810,24,0,0,0,0,0,6,0,0,846
"3273, Vic",61,0,0,0,0,0,0,0,0,0,61
"3274, Vic",178,0,0,0,0,0,0,0,0,0,178
"3275, Vic",167,0,0,0,0,0,0,0,0,0,174
"3276, Vic",191,0,0,0,0,0,0,0,0,0,191
"3277, Vic",659,6,0,0,0,0,0,43,0,4,713
"3278, Vic",158,0,0,0,0,0,0,0,0,0,159
"3280, Vic",10467,696,205,1560,93,37,4,75,15,47,13198
"3281, Vic",595,0,0,4,0,0,0,4,6,0,608
"3282, Vic",896,31,0,0,0,0,0,4,3,3,940
"3283, Vic",355,0,0,0,0,0,0,0,0,0,355
"3284, Vic",1723,109,62,56,0,0,11,29,3,23,2021
"3285, Vic",560,0,0,3,0,0,0,19,3,0,581
"3286, Vic",301,0,0,0,0,0,0,0,3,3,314
"3287, Vic",162,0,0,0,0,0,0,0,0,0,162
"3289, Vic",321,0,0,0,0,0,0,0,0,0,324
"3292, Vic",225,50,4,3,0,0,0,0,0,0,281
"3293, Vic",157,0,0,0,0,0,0,0,0,0,161
"3294, Vic",419,7,0,0,0,0,0,3,0,5,428
"3300, Vic",4282,102,0,366,0,0,0,54,5,18,4834
"3301, Vic",680,0,3,0,0,0,0,0,0,0,687
"3302, Vic",238,0,0,0,0,0,0,4,0,0,241
"3303, Vic",214,0,0,0,0,0,0,0,0,0,215
"3304, Vic",1108,71,0,3,0,0,0,7,0,0,1183
"3305, Vic",5350,144,22,386,0,0,9,62,15,7,5999
"3309, Vic",88,21,0,0,0,0,0,0,0,0,110
"3310, Vic",196,0,6,0,0,0,0,0,0,0,196
"3311, Vic",813,0,0,43,0,0,0,0,0,3,860
"3312, Vic",459,15,0,0,0,0,0,0,0,0,472
"3314, Vic",346,0,0,0,0,0,0,0,0,0,345
"3315, Vic",851,0,0,16,0,0,0,0,0,11,879
"3317, Vic",191,0,0,0,0,0,0,0,0,0,193
"3318, Vic",485,0,3,52,0,0,0,9,0,3,560
"3319, Vic",170,0,0,3,0,0,0,0,0,3,178
"3321, Vic",448,6,0,0,0,0,0,0,7,0,460
"3324, Vic",318,0,0,10,0,0,0,0,3,6,340
"3325, Vic",296,7,0,0,0,0,0,0,0,3,312
"3328, Vic",523,0,0,0,0,0,0,3,0,0,528
"3329, Vic",135,0,0,0,0,0,0,0,0,0,135
"3330, Vic",206,0,0,3,0,0,0,0,3,0,215
"3331, Vic",1468,3,0,0,0,0,0,3,6,0,1485
"3332, Vic",341,0,0,0,0,0,0,0,0,0,341
"3333, Vic",293,0,0,12,0,0,0,3,0,3,308
"3334, Vic",231,0,0,0,0,0,0,0,3,0,236
"3335, Vic",543,13,3,6,0,0,3,143,7,0,706
"3337, Vic",11199,395,54,518,0,0,10,11,0,16,12203
"3338, Vic",5551,521,39,218,0,0,0,0,0,4,6332
"3340, Vic",6439,83,30,409,23,0,8,54,9,3,7043
"3341, Vic",614,0,0,0,0,0,0,3,0,0,615
"3342, Vic",1249,4,0,62,0,0,0,31,3,0,1342
"3345, Vic",518,0,0,0,0,0,0,0,0,3,522
"3350, Vic",20010,1526,295,1789,33,10,3,53,17,43,23786
"3351, Vic",3200,22,0,13,0,0,0,15,11,5,3265
"3352, Vic",5617,8,0,23,0,0,4,123,39,3,5816
"3355, Vic",5140,383,12,340,27,0,4,0,3,0,5906
"3356, Vic",4985,244,16,982,0,0,7,0,0,3,6239
"3357, Vic",1165,21,0,45,0,0,0,0,0,0,1234
"3360, Vic",419,0,0,0,0,0,0,0,3,6,431
"3361, Vic",467,0,0,0,0,0,0,0,0,0,467
"3363, Vic",1326,20,0,79,0,0,0,15,0,11,1453
"3364, Vic",936,3,0,0,0,0,0,4,3,3,950
"3370, Vic",827,4,0,8,0,0,0,24,3,8,878
"3371, Vic",588,0,0,3,0,0,3,13,3,0,607
"3373, Vic",926,0,0,28,0,0,0,11,12,0,971
"3374, Vic",242,0,0,0,0,0,0,28,0,0,278
"3375, Vic",129,0,0,0,0,0,0,0,0,0,129
"3377, Vic",3488,70,3,219,3,0,0,36,0,14,3831
"3378, Vic",159,0,0,0,0,0,0,0,0,0,159
"3379, Vic",308,4,0,3,0,0,0,0,0,3,309
"3380, Vic",2607,113,3,132,0,0,0,27,0,12,2902
"3381, Vic",789,9,0,38,0,0,0,36,3,7,880
"3384, Vic",427,0,0,0,0,0,0,9,4,3,444
"3385, Vic",282,0,0,0,0,0,0,0,0,0,282
"3387, Vic",161,0,0,0,0,0,0,0,0,3,167
"3388, Vic",272,0,0,0,0,0,0,0,0,0,275
"3390, Vic",466,8,0,4,0,0,0,3,0,0,484
"3391, Vic",130,0,0,0,0,0,0,0,0,0,130
"3392, Vic",327,9,0,0,0,0,0,0,0,0,341
"3393, Vic",1295,16,0,23,0,0,0,9,0,8,1344
"3395, Vic",317,3,0,8,0,0,0,4,0,6,338
"3396, Vic",288,6,0,3,0,0,0,0,0,9,299
"3400, Vic",5564,428,25,611,0,0,3,14,5,6,6658
"3401, Vic",1885,0,0,0,0,0,0,88,12,0,1989
"3407, Vic",172,0,0,0,0,0,0,5,0,4,190
"3409, Vic",523,3,0,5,0,0,0,9,0,0,535
"3412, Vic",119,0,0,0,0,0,0,0,0,3,125
"3413, Vic",130,0,0,0,0,0,0,0,0,0,130
"3414, Vic",843,0,0,30,0,0,0,17,0,7,898
"3418, Vic",1264,0,0,76,0,0,0,6,0,3,1356
"3419, Vic",501,0,0,9,0,0,0,0,0,0,514
"3420, Vic",166,0,0,0,0,0,0,0,0,0,166
"3423, Vic",350,6,0,10,0,0,0,0,0,0,362
"3424, Vic",394,9,0,11,0,0,0,9,0,0,420
"3427, Vic",915,4,4,8,0,0,0,3,0,5,939
"3428, Vic",241,0,0,0,0,0,0,0,0,0,246
"3429, Vic",11704,236,129,858,5,0,4,3,3,11,12957
"3430, Vic",177,0,0,3,0,0,0,0,0,0,185
"3431, Vic",1312,0,0,41,0,0,0,3,6,0,1360
"3433, Vic",101,0,0,0,0,0,0,0,0,0,106
"3434, Vic",1632,14,0,40,0,0,0,0,0,0,1684
"3435, Vic",1121,8,0,10,0,0,0,4,4,14,1158
"3437, Vic",2980,73,37,149,0,0,0,0,0,3,3250
"3438, Vic",769,15,0,14,0,0,0,0,0,0,801
"3440, Vic",744,0,0,0,0,0,0,22,0,0,770
"3441, Vic",619,0,0,0,0,0,0,0,0,0,618
"3442, Vic",3035,0,0,45,0,0,0,13,4,0,3098
"3444, Vic",3670,71,0,186,0,0,0,13,18,33,3987
"3446, Vic",262,0,0,0,0,0,0,0,0,3,271
"3447, Vic",253,0,0,0,0,0,0,6,3,0,263
"3448, Vic",333,0,0,0,0,0,0,0,3,0,335
"3450, Vic",3020,125,3,234,0,0,3,23,0,8,3411
"3451, Vic",2079,6,3,32,0,0,3,9,7,7,2141
"3453, Vic",682,0,0,0,0,0,0,0,0,3,689
"3458, Vic",1040,3,0,17,0,0,0,4,0,0,1068
"3460, Vic",1625,98,22,53,0,0,0,8,3,7,1816
"3461, Vic",2342,10,0,10,0,0,4,23,3,4,2393
"3462, Vic",528,17,0,0,0,0,3,4,3,9,558
"3463, Vic",1427,3,0,34,0,0,3,29,4,24,1520
"3464, Vic",492,0,0,0,0,0,0,0,0,0,499
"3465, Vic",3713,175,7,273,0,0,3,55,0,24,4250
"3467, Vic",631,10,0,12,0,0,0,10,0,6,667
"3468, Vic",134,0,0,0,0,0,0,0,4,0,135
"3469, Vic",247,0,0,0,0,0,0,3,0,0,250
"3472, Vic",758,6,6,22,0,0,0,35,20,16,861
"3475, Vic",180,0,0,0,0,0,0,14,20,0,209
"3477, Vic",213,0,0,0,0,0,0,9,9,0,232
"3478, Vic",1465,35,0,40,0,0,0,17,3,8,1566
"3480, Vic",744,35,12,3,0,0,0,4,0,5,804
"3482, Vic",215,0,0,0,0,0,0,0,4,0,218
"3483, Vic",313,0,4,28,0,0,0,4,0,0,348
"3485, Vic",107,3,0,0,0,0,0,0,0,0,109
"3490, Vic",520,3,0,17,0,0,0,11,0,3,560
"3491, Vic",235,0,0,0,0,0,0,0,0,0,235
"3494, Vic",280,0,0,0,0,0,0,43,13,0,338
"3496, Vic",2299,96,3,83,0,0,3,39,3,7,2531
"3498, Vic",1834,80,0,52,0,0,0,40,0,0,2008
"3500, Vic",10855,982,87,1659,6,0,6,310,14,26,13930
"3501, Vic",656,0,0,12,0,0,3,28,21,3,724
"3505, Vic",1825,3,0,35,0,0,3,44,3,12,1929
"3507, Vic",220,0,0,3,0,0,0,4,0,0,228
"3509, Vic",103,0,0,0,0,0,0,0,0,0,102
"3512, Vic",308,0,0,4,0,0,0,4,0,7,319
"3515, Vic",327,0,0,0,0,0,0,31,0,0,354
"3516, Vic",345,0,0,0,0,0,0,5,0,5,354
"3517, Vic",745,11,0,6,0,0,0,40,3,10,814
"3518, Vic",764,0,0,19,0,0,0,35,3,4,825
"3520, Vic",150,0,0,0,0,0,0,0,0,0,155
"3521, Vic",322,0,0,0,0,0,0,0,0,0,319
"3522, Vic",274,0,0,0,0,0,0,0,0,0,275
"3523, Vic",1862,24,4,49,0,0,4,55,26,14,2036
"3525, Vic",637,10,0,29,0,0,0,0,3,3,681
"3527, Vic",425,0,0,0,0,0,0,7,0,0,430
"3530, Vic",174,0,0,0,0,0,0,0,0,3,177
"3531, Vic",152,0,0,0,0,0,0,0,0,3,160
"3533, Vic",427,0,0,11,0,0,0,0,0,0,441
"3537, Vic",544,0,0,30,0,0,0,6,0,8,592
"3540, Vic",177,3,0,0,0,0,0,0,0,0,185
"3542, Vic",94,0,0,0,0,0,0,0,0,0,96
"3544, Vic",179,0,0,0,0,0,0,0,0,0,179
"3546, Vic",203,0,0,9,0,0,0,0,0,3,215
"3549, Vic",1387,7,10,37,0,0,0,102,12,6,1569
"3550, Vic",15147,1149,204,1483,3,0,7,8,10,50,18060
"3551, Vic",8747,27,11,19,0,0,6,106,22,3,8948
"3555, Vic",7145,216,38,642,0,0,6,129,8,4,8193
"3556, Vic",4390,173,0,408,0,0,3,10,7,8,4997
"3557, Vic",261,0,0,0,0,0,0,0,0,0,268
"3558, Vic",455,19,4,6,0,4,0,13,0,3,501
"3559, Vic",294,0,0,0,0,0,0,18,0,0,312
"3561, Vic",1938,9,0,129,0,0,0,15,0,7,2098
"3562, Vic",135,0,0,0,0,0,0,0,0,3,135
"3563, Vic",355,0,0,0,0,0,0,0,0,0,361
"3564, Vic",5408,325,3,767,20,0,16,96,0,9,6647
"3566, Vic",277,0,0,8,0,0,0,3,0,4,294
"3567, Vic",284,0,0,9,0,0,0,0,0,0,288
"3568, Vic",1321,29,4,14,5,0,0,19,0,5,1397
"3570, Vic",235,0,0,6,0,0,0,12,0,3,248
"3571, Vic",148,0,0,3,0,0,0,0,0,3,155
"3572, Vic",95,0,0,0,0,0,0,0,0,0,95
"3573, Vic",248,3,0,0,0,0,0,4,0,0,256
"3575, Vic",427,0,0,28,0,0,0,4,9,8,467
"3579, Vic",2381,40,5,140,0,0,0,48,0,18,2629
"3580, Vic",416,4,0,10,0,0,0,15,0,0,439
"3581, Vic",156,0,0,0,0,0,0,0,0,0,159
"3584, Vic",591,6,0,6,0,0,0,10,0,0,622
"3586, Vic",287,8,3,0,0,0,0,17,3,0,316
"3588, Vic",126,0,0,0,0,0,0,0,0,0,123
"3589, Vic",127,0,0,0,0,0,0,0,0,0,127
"3590, Vic",148,0,0,0,0,0,0,0,0,0,150
"3591, Vic",124,0,0,0,0,0,0,0,0,0,124
"3594, Vic",206,0,0,3,0,0,0,39,0,3,249
"3595, Vic",280,0,0,14,0,0,0,3,0,13,317
"3596, Vic",62,0,0,0,0,0,0,15,0,0,71
"3597, Vic",232,0,0,0,0,0,0,12,0,0,247
"3608, Vic",1112,42,0,33,0,0,0,33,13,58,1297
"3610, Vic",612,13,0,11,0,0,0,34,0,4,673
"3612, Vic",844,0,0,12,0,0,3,21,0,13,893
"3614, Vic",280,0,0,0,0,0,0,0,0,0,283
"3616, Vic",1935,51,0,149,0,0,0,34,0,18,2187
"3617, Vic",115,0,0,0,0,0,0,0,0,0,115
"3618, Vic",287,0,0,0,0,0,0,10,0,0,300
"3620, Vic",3096,113,8,241,4,0,0,19,3,5,3482
"3621, Vic",847,36,0,11,22,0,0,13,0,3,926
"3622, Vic",136,0,0,0,0,0,0,0,0,0,133
"3623, Vic",412,0,0,18,0,0,0,0,0,0,434
"3624, Vic",249,0,0,0,0,0,0,0,0,0,246
"3629, Vic",3140,87,0,598,0,0,0,183,8,3,4014
